"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Mike Trout","Angels","153","678","574","172","34","7","37","113","122","88","154","9","14","3",".300",".397",".577",".973",".409","1.0","1.3","8.5","10155"
"Andrew McCutchen","Pirates","155","683","574","175","38","5","24","92","105","92","122","11","16","4",".305",".407",".514",".921",".393","-2.0","1.2","7.0","9847"
"Shin-Soo Choo","Rangers","142","631","538","150","33","2","20","96","84","71","133","18","6","2",".279",".379",".459",".838",".365","-7.0","0.1","2.9","3174"
"Mookie Betts","Red Sox","152","694","629","187","43","6","20","117","79","59","86","2","26","4",".297",".357",".480",".837",".361","3.0","3.3","5.1","13611"
"A.J. Pollock","Diamondbacks","151","687","628","191","37","7","17","112","77","51","99","3","32","5",".304",".357",".467",".823",".356","8.0","4.1","5.6","9256"
"Joc Pederson","Dodgers","148","620","518","126","25","3","26","86","94","92","170","7","12","4",".243",".363",".454",".817",".355","1.0","0.5","4.7","11899"
"Lorenzo Cain","Royals","140","619","564","172","33","5","15","81","75","42","106","8","28","5",".305",".359",".461",".820",".353","14.0","3.3","6.0","9077"
"Adam Eaton","White Sox","144","661","590","171","29","10","10","98","59","57","112","11","18","5",".290",".362",".424",".785",".344","-3.0","1.3","3.7","11205"
"Adam Jones","Orioles","153","672","626","176","33","2","29","91","91","31","120","10","7","1",".281",".323",".479",".802",".343","5.0","0.7","4.4","6368"
"Dexter Fowler"," ","137","630","540","142","25","6","13","95","59","83","132","5","16","5",".263",".365",".404",".769",".340","-5.0","0.9","3.0","4062"
"Matt Kemp","Padres","147","636","578","159","32","2","24","77","85","48","150","3","8","2",".275",".330",".462",".792",".340","-12.0","0.5","1.8","5631"
"Domingo Santana","Brewers","135","570","499","123","27","3","22","72","80","60","161","8","12","5",".246",".335",".445",".780",".339","-7.0","0.2","1.7","10348"
"Delino Deshields","Rangers","144","658","573","156","28","11","10","94","59","70","130","10","38","9",".272",".359",".412",".771",".338","-2.0","3.7","3.4","11379"
"Charlie Blackmon","Rockies","156","715","653","189","29","6","18","109","70","45","107","12","31","8",".289",".344",".435",".779",".338","-3.0","2.7","2.1","7859"
"Brett Gardner","Yankees","142","639","560","151","23","6","15","93","68","68","129","7","20","4",".270",".354",".413",".766",".337","1.0","2.1","2.8","9927"
"Jackie Bradley Jr.","Red Sox","132","513","453","116","30","4","14","68","68","50","119","8","7","2",".256",".339",".433",".772",".336","15.0","0.4","3.9","12984"
"Aaron Hicks","Yankees","98","400","356","96","17","4","10","43","46","40","68","1","14","4",".270",".343",".424",".767",".334","3.0","1.0","2.0","5297"
"Carlos Gomez","Astros","133","580","527","142","27","5","17","66","69","38","122","12","23","5",".269",".331",".436",".767",".333","7.0","2.4","3.9","4881"
"Denard Span","Giants","125","575","524","154","30","7","5","77","45","47","52","2","21","4",".294",".353",".406",".760",".333","-3.0","2.3","3.3","8347"
"Enrique Hernandez","Dodgers","120","492","454","130","21","3","13","54","57","31","103","4","3","1",".286",".335",".432",".767",".333","5.0","0.0","3.2","10472"
"Randal Grichuk","Cardinals","136","575","530","138","28","6","22","71","78","36","158","7","5","2",".260",".315",".460",".775",".332","4.0","0.0","3.0","10243"
"Andre Ethier","Dodgers","124","510","455","127","17","4","11","53","57","46","86","6","4","2",".279",".351",".407",".758",".330","-1.0","-0.3","1.8","6265"
"Marcell Ozuna","Marlins","139","588","541","143","27","4","20","67","75","41","130","3","4","1",".264",".318",".440",".758",".327","0.0","0.1","2.5","10324"
"Kevin Kiermaier","Rays","154","634","585","160","25","14","13","63","68","39","111","6","21","6",".274",".323",".431",".754",".325","18.0","1.5","5.2","11038"
"Michael Saunders","Blue Jays","88","358","314","80","13","3","10","38","41","39","87","1","4","1",".255",".335",".411",".746",".324","3.0","0.2","1.3","9981"
"Colby Rasmus","Astros","136","567","511","122","26","1","24","69","76","51","169","3","4","1",".239",".310",".434",".745",".323","2.0","0.2","2.0","9893"
"Jacoby Ellsbury","Yankees","136","623","569","158","25","5","13","85","54","45","104","5","28","4",".278",".334",".408",".742",".323","1.0","3.7","3.1","4727"
"Gregor Blanco","Giants","100","398","353","98","13","4","4","37","40","41","62","2","10","3",".278",".354",".371",".725",".319","2.0","0.6","1.6","3123"
"Byron Buxton","Twins","123","529","480","126","17","14","9","46","55","41","125","4","26","6",".263",".323",".413",".736",".319","3.0","2.6","2.6","14161"
"Billy Burns","Athletics","144","654","602","175","21","10","4","76","49","40","93","9","39","5",".291",".343",".379",".721",".317","-2.0","5.5","3.0","12701"
"Dalton Pompey","Blue Jays","103","417","376","99","14","6","7","38","42","36","80","3","22","4",".263",".331",".388",".719",".315","3.0","2.6","1.5","12797"
"Alejandro De Aza","Mets","87","341","310","82","15","4","6","36","37","25","72","4","10","3",".265",".326",".397",".722",".315","-2.0","0.7","1.0","3371"
"Odubel Herrera","Phillies","147","661","613","173","26","6","8","76","56","40","143","5","20","6",".282",".330",".383",".713",".313","6.0","1.3","2.7","11476"
"Kevin Pillar","Blue Jays","150","600","558","153","28","3","12","57","63","32","88","6","26","7",".274",".318",".400",".718",".313","13.0","2.2","3.5","12434"
"Cameron Maybin","Tigers","129","541","494","131","19","4","10","49","55","42","98","2","19","5",".265",".323",".381",".704",".308","-1.0","1.6","1.7","5223"
"Abraham Almonte","Indians","114","443","405","103","19","5","9","47","47","35","82","1","11","3",".254",".314",".393",".706",".308","4.0","0.8","1.8","5486"
