"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Edwin Encarnacion","Blue Jays","138","591","508","138","31","1","35","97","110","73","88","5","4","1",".272",".365",".543",".909",".385","-2.0","0.1","3.6","2151"
"Miguel Sano","Twins","146","632","533","139","33","4","33","95","109","85","190","8","4","1",".261",".367",".523",".891",".379","-3.0","0.1","4.3","12164"
"Nelson Cruz","Mariners","150","648","583","165","28","1","36","98","111","56","154","5","4","2",".283",".349",".520",".868",".369","-4.0","-0.3","3.3","2434"
"David Ortiz","Red Sox","135","586","505","137","31","1","29","84","93","74","94","1","0","0",".271",".362",".509",".871",".362","0.0","-0.3","2.3","745"
"Prince Fielder","Rangers","154","675","589","171","30","0","23","89","92","73","89","9","0","0",".290",".375",".458",".833",".358","-3.0","-0.4","2.2","4613"
"Kendrys Morales","Royals","147","621","561","159","37","1","22","80","90","51","99","6","0","0",".283",".348",".471",".818",".352","-1.0","-0.3","2.1","8610"
"A.J. Reed","Astros","99","416","366","98","19","2","17","56","62","42","98","4","1","0",".268",".346",".470",".816",".351","-1.0","0.0","1.6","sa599279"
"John Jaso","Pirates","105","436","374","105","22","1","8","48","53","54","76","5","4","2",".281",".376",".409",".785",".347","-2.0","-0.2","1.6","5887"
"Alex Rodriguez","Yankees","133","572","487","123","20","1","23","71","82","73","136","7","3","1",".253",".355",".439",".794",".345","0.0","-0.1","1.7","1274"
"Adam Lind","Mariners","129","536","482","134","28","1","17","64","70","50","94","1","0","0",".278",".345",".446",".791",".340","-1.0","-0.3","1.9","8027"
"Victor Martinez","Tigers","136","577","520","152","27","0","16","64","72","46","56","4","0","0",".292",".350",".437",".787",".334","-2.0","-0.3","0.9","393"
"Albert Pujols","Angels","144","622","562","147","26","0","29","78","87","47","68","6","4","1",".262",".322",".463",".784",".332","2.0","0.1","2.3","1177"
"Chris Carter","Brewers","111","461","401","88","17","1","22","58","63","52","146","4","2","1",".219",".312",".431",".744",".322","-3.0","-0.2","0.2","9911"
"C.J. Cron","Angels","115","481","445","116","21","2","18","56","61","24","103","8","3","1",".261",".308",".438",".746",".321","-2.0","0.0","0.7","12546"
"Evan Gattis","Astros","140","586","544","137","23","4","26","72","78","31","118","7","0","0",".252",".299",".452",".751",".320","-3.0","-0.2","0.5","11003"
"Billy Butler","Athletics","150","640","576","154","27","0","13","58","67","54","101","5","1","0",".267",".333",".382",".715",".312","-1.0","-0.1","0.6","7399"
