"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Miguel Cabrera","Tigers","144","633","539","178","38","1","29","96","113","85","95","4","2","1",".330",".422",".566",".988",".416","-1.0","-0.4","6.1","1744"
"Paul Goldschmidt","Diamondbacks","155","681","567","176","43","2","33","100","122","106","144","3","16","4",".310",".419",".568",".986",".412","3.0","1.3","6.5","9218"
"Joey Votto","Reds","148","655","523","161","33","2","24","95","107","123","118","5","5","1",".308",".441",".516",".957",".410","2.0","0.2","6.1","4314"
"Anthony Rizzo","Cubs","155","676","577","164","36","2","33","99","114","78","105","17","10","3",".284",".383",".525",".908",".387","5.0","0.5","5.5","3473"
"Edwin Encarnacion","Blue Jays","138","591","508","138","31","1","35","97","110","73","88","5","4","1",".272",".365",".543",".909",".385","-2.0","0.1","3.6","2151"
"Jose Abreu","White Sox","154","675","607","183","36","3","33","99","111","51","140","14","2","0",".301",".367",".534",".901",".380","-2.0","0.1","4.3","15676"
"Chris Davis","Orioles","153","659","566","147","29","0","41","103","118","78","200","9","4","2",".260",".355",".528",".883",".373","2.0","-0.3","4.1","9272"
"Freddie Freeman","Braves","150","658","571","167","37","2","23","90","95","75","131","8","4","2",".292",".380",".485",".865",".372","3.0","-0.3","4.4","5361"
"Brandon Belt","Giants","136","572","504","144","34","4","22","82","91","59","144","6","6","2",".286",".365",".500",".865",".371","6.0","0.1","4.5","10264"
"Gregory Bird","Yankees","84","346","304","82","18","1","17","52","55","35","82","4","0","0",".270",".350",".503",".853",".365","-1.0","-0.2","1.7","14131"
"Prince Fielder","Rangers","154","675","589","171","30","0","23","89","92","73","89","9","0","0",".290",".375",".458",".833",".358","-3.0","-0.4","2.2","4613"
"Eric Hosmer","Royals","155","673","602","178","36","3","20","82","91","64","109","2","7","2",".296",".363",".465",".828",".356","1.0","0.3","3.3","3516"
"Lucas Duda","Mets","139","597","511","128","33","0","27","81","92","71","142","11","1","1",".250",".352",".474",".825",".355","0.0","-0.5","3.0","2502"
"Mark Teixeira","Yankees","122","527","451","113","22","0","27","74","83","64","101","7","1","0",".251",".349",".479",".828",".354","3.0","-0.1","2.7","1281"
"Travis Shaw","Red Sox","68","279","253","72","11","1","12","38","41","22","58","2","1","0",".285",".344",".478",".822",".354","2.0","0.1","1.6","11982"
"Carlos Santana","Indians","152","646","530","128","30","1","22","81","91","109","116","3","5","1",".242",".372",".426",".798",".349","-1.0","0.3","2.4","2396"
"Adrian Gonzalez","Dodgers","151","658","586","162","34","0","25","82","89","61","104","3","1","0",".276",".343",".462",".806",".344","3.0","-0.1","3.0","1908"
"Justin Bour","Marlins","142","601","540","146","25","0","27","80","89","54","120","3","0","0",".270",".338",".467",".804",".342","-3.0","-0.3","1.7","9744"
"Mitch Moreland","Rangers","135","565","515","139","32","1","24","74","81","38","119","5","1","0",".270",".322",".476",".798",".341","4.0","0.0","2.0","3086"
"Adam Lind","Mariners","129","536","482","134","28","1","17","64","70","50","94","1","0","0",".278",".345",".446",".791",".340","-1.0","-0.3","1.9","8027"
"Jon Singleton","Astros","109","437","366","85","18","1","17","55","60","66","122","1","3","1",".232",".348",".426",".774",".337","0.0","0.0","1.4","10441"
"Jesus Montero","Mariners","85","341","314","85","14","3","14","43","47","22","75","1","0","0",".271",".317",".468",".785",".335","-3.0","-0.1","0.8","5514"
"Brandon Moss","Cardinals","116","494","434","109","18","2","19","59","67","51","132","6","0","0",".251",".336",".433",".769",".333","-1.0","-0.2","1.3","4467"
"Albert Pujols","Angels","144","622","562","147","26","0","29","78","87","47","68","6","4","1",".262",".322",".463",".784",".332","2.0","0.1","2.3","1177"
"Chris Colabello","Blue Jays","105","426","390","109","21","0","13","48","52","29","108","4","2","1",".279",".333",".433",".767",".332","-6.0","-0.2","0.5","13051"
"Mark Canha","Athletics","114","479","425","109","22","2","15","55","61","39","93","10","5","1",".256",".330",".424",".753",".329","-1.0","0.4","1.7","11445"
"Joe Mauer","Twins","139","606","535","149","31","1","8","55","60","67","102","1","4","1",".279",".358",".385",".743",".323","1.0","0.1","1.5","1857"
"Chris Carter","Brewers","111","461","401","88","17","1","22","58","63","52","146","4","2","1",".219",".312",".431",".744",".322","-3.0","-0.2","0.2","9911"
"Mark Trumbo","Orioles","142","590","545","138","22","2","27","73","79","41","142","0","1","0",".253",".303",".450",".753",".322","-2.0","0.0","0.4","6876"
"C.J. Cron","Angels","115","481","445","116","21","2","18","56","61","24","103","8","3","1",".261",".308",".438",".746",".321","-2.0","0.0","0.7","12546"
"Stephen Vogt","Athletics","130","554","495","130","19","3","15","56","64","52","95","1","0","0",".263",".330",".404",".734",".319","-1.0","-0.3","3.1","5000"
"Michael Morse","Pirates","81","330","293","74","13","1","7","31","33","30","89","5","0","0",".253",".330",".375",".706",".312","-2.0","-0.2","0.2","3035"
"Ryan Howard","Phillies","117","494","451","106","25","2","20","55","61","33","136","5","0","0",".235",".292",".432",".724",".309","-6.0","-0.2","-0.4","2154"
"Justin Smoak","Blue Jays","95","381","340","77","15","0","13","39","42","35","96","3","0","0",".226",".302",".385",".687",".301","2.0","-0.2","0.3","9054"
