"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Bryce Harper","Nationals","149","655","538","166","35","3","38","105","131","108","133","5","7","3",".309",".426",".597","1.023",".430","0.0","-0.2","7.6","11579"
"Giancarlo Stanton","Marlins","140","609","524","146","31","1","43","108","122","79","165","4","5","1",".279",".376",".588",".964",".403","6.0","0.3","6.4","4949"
"Jose Bautista","Blue Jays","145","633","520","135","28","1","35","101","109","101","95","6","5","1",".260",".382",".519",".902",".385","-2.0","0.3","4.8","1887"
"J.D. Martinez","Tigers","154","654","590","168","35","3","35","99","114","54","168","5","5","1",".285",".347",".532",".879",".372","3.0","0.3","4.8","6184"
"Nelson Cruz","Mariners","150","648","583","165","28","1","36","98","111","56","154","5","4","2",".283",".349",".520",".868",".369","-4.0","-0.3","3.3","2434"
"George Springer","Astros","139","617","533","143","28","4","27","102","91","70","151","11","22","4",".268",".363",".488",".851",".367","4.0","2.5","4.8","12856"
"Shin-Soo Choo","Rangers","142","631","538","150","33","2","20","96","84","71","133","18","6","2",".279",".379",".459",".838",".365","-7.0","0.1","2.9","3174"
"Yasiel Puig","Dodgers","140","618","547","157","30","6","22","89","86","57","125","11","10","4",".287",".364",".484",".849",".365","3.0","0.1","4.4","14225"
"Carlos Gonzalez","Rockies","134","579","526","149","25","4","28","82","92","47","126","2","4","0",".283",".342",".506",".848",".361","-2.0","0.5","2.0","7287"
"Ryan Braun","Brewers","138","605","542","156","29","4","23","83","86","56","121","4","15","4",".288",".357",".483",".840",".360","-6.0","1.1","2.7","3410"
"Jayson Werth","Nationals","115","494","424","119","23","1","14","57","67","59","104","6","3","0",".281",".372",".439",".811",".354","-5.0","0.3","2.0","1327"
"Lorenzo Cain","Royals","140","619","564","172","33","5","15","81","75","42","106","8","28","5",".305",".359",".461",".820",".353","14.0","3.3","6.0","9077"
"Franklin Gutierrez","Mariners","72","298","269","74","14","0","13","41","43","23","75","4","2","0",".275",".339",".472",".811",".351","2.0","0.3","1.9","3255"
"Jorge Soler","Cubs","133","549","492","135","30","2","22","72","77","48","144","3","5","1",".274",".339",".478",".816",".349","-4.0","0.4","2.2","14221"
"Jason Heyward","Cubs","154","691","610","172","33","3","17","104","79","71","105","7","23","4",".282",".362",".430",".791",".346","13.0","2.6","5.5","4940"
"Wil Myers","Padres","141","625","552","150","33","1","22","87","79","65","131","2","13","2",".272",".347",".455",".802",".345","0.0","1.5","3.2","10047"
"Curtis Granderson","Mets","148","674","579","147","29","3","22","110","74","85","145","6","9","2",".254",".353",".428",".781",".342","2.0","0.7","3.6","4747"
"Hunter Pence","Giants","150","636","586","161","31","7","23","78","88","45","121","2","13","3",".275",".327",".469",".796",".342","7.0","1.1","4.1","8252"
"Matt Kemp","Padres","147","636","578","159","32","2","24","77","85","48","150","3","8","2",".275",".330",".462",".792",".340","-12.0","0.5","1.8","5631"
"Domingo Santana","Brewers","135","570","499","123","27","3","22","72","80","60","161","8","12","5",".246",".335",".445",".780",".339","-7.0","0.2","1.7","10348"
"Josh Reddick","Athletics","142","623","561","153","27","5","20","75","76","56","83","1","7","1",".273",".337",".446",".783",".339","5.0","0.7","3.5","3892"
"Charlie Blackmon","Rockies","156","715","653","189","29","6","18","109","70","45","107","12","31","8",".289",".344",".435",".779",".338","-3.0","2.7","2.1","7859"
"Carlos Beltran","Yankees","117","488","436","118","24","1","16","58","64","45","81","2","0","0",".271",".338",".440",".778",".337","-5.0","-0.2","1.3","589"
"Gregory Polanco","Pirates","150","674","603","166","38","5","15","96","71","64","119","2","30","8",".275",".344",".430",".774",".335","7.0","2.5","3.8","12907"
"Brandon Moss","Cardinals","116","494","434","109","18","2","19","59","67","51","132","6","0","0",".251",".336",".433",".769",".333","-1.0","-0.2","1.3","4467"
"Steven Souza","Rays","139","585","510","126","25","1","22","71","79","63","168","7","18","4",".247",".335",".429",".764",".333","0.0","1.7","2.6","5667"
"Randal Grichuk","Cardinals","136","575","530","138","28","6","22","71","78","36","158","7","5","2",".260",".315",".460",".775",".332","4.0","0.0","3.0","10243"
"Andre Ethier","Dodgers","124","510","455","127","17","4","11","53","57","46","86","6","4","2",".279",".351",".407",".758",".330","-1.0","-0.3","1.8","6265"
"Oswaldo Arcia","Twins","90","366","331","86","14","1","14","44","47","27","92","6","2","1",".260",".325",".435",".760",".329","-8.0","-0.2","0.3","10306"
"Kole Calhoun","Angels","146","656","600","160","24","4","23","95","76","48","142","3","6","2",".267",".322",".435",".757",".327","7.0","0.1","3.3","11200"
"Max Kepler","Twins","84","332","299","81","15","5","6","35","37","29","61","2","9","2",".271",".337",".415",".752",".327","3.0","0.8","1.5","12144"
"Jay Bruce","Reds","144","608","543","133","33","2","25","74","82","57","144","2","5","1",".245",".316",".451",".767",".326","-1.0","0.4","1.4","9892"
"Kevin Kiermaier","Rays","154","634","585","160","25","14","13","63","68","39","111","6","21","6",".274",".323",".431",".754",".325","18.0","1.5","5.2","11038"
"Nick Markakis","Braves","153","684","613","176","35","1","8","79","63","64","81","3","4","2",".287",".355",".387",".742",".325","-3.0","-0.4","1.7","5930"
"Michael Saunders","Blue Jays","88","358","314","80","13","3","10","38","41","39","87","1","4","1",".255",".335",".411",".746",".324","3.0","0.2","1.3","9981"
"Aaron Altherr","Phillies","120","508","455","117","26","5","13","53","59","42","117","6","20","5",".257",".325",".422",".747",".324","8.0","1.8","2.4","11270"
"Seth Smith","Mariners","128","538","471","119","30","3","10","52","58","60","106","4","0","0",".253",".340",".393",".733",".321","1.0","-0.3","1.7","7331"
"Eddie Rosario","Twins","138","566","533","142","31","12","15","58","63","26","119","1","15","6",".266",".299",".454",".753",".320","7.0","0.4","2.2","12155"
"Josh Hamilton","Rangers","93","368","336","88","17","1","13","44","46","24","106","3","0","0",".262",".313",".435",".747",".319","-1.0","-0.2","0.5","1875"
"Nori Aoki","Mariners","126","580","530","154","17","4","5","71","42","41","39","8","15","5",".291",".350",".366",".716",".318","2.0","0.7","2.0","13075"
"Gerardo Parra","Rockies","143","581","545","152","29","4","13","57","62","29","87","4","12","5",".279",".318",".418",".737",".318","2.0","0.2","0.6","8553"
"Rusney Castillo","Red Sox","122","491","456","123","24","2","12","49","54","30","82","2","13","4",".270",".316",".410",".726",".316","7.0","0.8","1.6","17016"
"Matt Szczur","Cubs","86","341","315","81","14","2","10","38","40","21","83","3","10","2",".257",".308",".410",".717",".312","3.0","1.1","1.4","11255"
"Ender Inciarte","Braves","143","650","610","174","28","5","6","72","47","33","71","4","25","5",".285",".325",".377",".702",".307","12.0","2.7","3.1","4922"
"Paulo Orlando","Royals","79","305","290","73","15","5","6","30","30","11","61","2","9","2",".252",".282",".400",".682",".294","6.0","0.9","0.8","8628"
