"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Matt Carpenter","Cardinals","154","701","600","167","41","4","21","116","84","86","130","8","5","2",".278",".372",".465",".837",".362","-3.0","-0.2","5.0","8090"
"Robinson Cano","Mariners","154","678","612","185","37","1","21","89","88","57","94","5","5","2",".302",".364",".469",".833",".355","-2.0","-0.1","4.9","3269"
"Anthony Rendon","Nationals","138","618","543","154","34","3","17","96","74","62","103","7","9","2",".284",".361",".451",".812",".352","4.0","0.7","4.5","12861"
"Joe Panik","Giants","134","602","540","162","30","5","10","83","64","52","58","5","4","1",".300",".364",".430",".793",".346","5.0","0.1","4.7","11936"
"Devon Travis","Blue Jays","116","504","454","132","25","4","12","55","62","40","84","5","12","2",".291",".351",".443",".794",".344","3.0","1.3","3.5","13862"
"Dustin Pedroia","Red Sox","134","599","537","157","32","1","13","82","66","55","70","2","7","2",".292",".357",".428",".786",".342","7.0","0.3","4.0","8370"
"Ben Zobrist","Cubs","131","585","513","142","32","3","13","79","65","64","69","3","6","2",".277",".357",".427",".784",".341","0.0","0.1","3.3","7435"
"Jason Kipnis","Indians","142","648","577","164","37","4","14","97","65","60","111","5","18","4",".284",".353",".435",".788",".341","1.0","1.7","4.1","9776"
"Rougned Odor","Rangers","148","624","572","154","32","9","21","75","84","34","99","13","13","5",".269",".322",".467",".789",".338","0.0","0.4","3.1","12282"
"Jose Altuve","Astros","155","710","662","207","41","3","11","100","62","36","66","5","37","8",".313",".349",".434",".783",".336","0.0","3.9","4.3","5417"
"Dilson Herrera","Mets","63","252","220","59","11","1","6","27","30","26","50","3","5","1",".268",".349",".409",".758",".333","4.0","0.5","1.9","14335"
"Addison Russell","Cubs","150","591","530","140","30","5","16","73","75","51","142","7","8","2",".264",".335",".430",".765",".333","13.0","0.5","4.9","14106"
"Neil Walker","Mets","143","625","560","151","29","4","17","70","72","48","106","12","6","3",".270",".338",".427",".764",".331","-5.0","-0.3","2.9","7539"
"Brian Dozier","Twins","155","700","619","152","38","3","24","105","78","66","134","8","16","4",".246",".323",".433",".756",".328","1.0","1.3","3.5","9810"
"Howie Kendrick","Dodgers","135","592","551","161","26","4","11","59","61","35","96","4","7","2",".292",".338",".414",".752",".325","0.0","0.3","2.9","4229"
"Logan Forsythe","Rays","149","642","570","153","27","3","14","62","72","56","117","10","7","2",".268",".341",".400",".741",".325","2.0","0.3","3.4","7185"
"Ian Kinsler","Tigers","150","683","626","176","34","4","13","91","61","46","77","5","11","4",".281",".332",".411",".743",".324","6.0","0.3","3.6","6195"
"Jonathan Schoop","Orioles","141","557","522","135","27","0","24","72","76","25","128","8","5","2",".259",".302",".448",".750",".324","3.0","0.0","2.6","11265"
"DJ LeMahieu","Rockies","151","665","607","178","23","7","8","65","62","52","102","2","21","6",".293",".349",".394",".743",".323","4.0","1.5","1.9","9874"
"Kelby Tomlinson","Giants","66","261","238","69","8","3","3","26","27","19","45","2","10","2",".290",".345",".387",".731",".322","0.0","1.1","1.4","13005"
"Kolten Wong","Cardinals","145","618","568","154","28","6","14","60","69","37","92","9","21","4",".271",".324",".415",".739",".320","3.0","2.3","3.1","12532"
"Javier Baez","Cubs","111","447","408","103","23","2","16","50","54","27","125","7","12","3",".252",".306",".436",".743",".320","5.0","1.0","2.4","12979"
"Christian Colon","Royals","81","306","273","78","13","1","2","33","31","29","35","2","8","2",".286",".356",".363",".719",".319","0.0","0.6","1.3","11145"
"Daniel Murphy","Nationals","134","584","547","156","34","2","11","55","58","30","60","2","5","1",".285",".322",".415",".737",".317","-3.0","0.3","1.8","4316"
"Dee Gordon","Marlins","142","655","619","183","22","10","2","71","40","29","94","4","56","12",".296",".330",".373",".703",".307","3.0","6.1","2.8","8203"
"Chase Utley","Dodgers","97","398","356","90","20","3","8","36","38","30","65","7","3","0",".253",".319",".393",".712",".307","2.0","0.4","1.5","1679"
"Tommy La Stella","Cubs","80","320","291","79","13","1","2","24","27","25","29","2","3","1",".271",".331",".344",".675",".299","-1.0","0.0","0.6","12371"
"Jace Peterson","Braves","134","559","496","124","19","7","5","42","47","55","110","3","15","4",".250",".326",".347",".672",".298","3.0","1.1","1.6","12325"
"Jose Ramirez","Indians","92","354","319","82","12","3","4","33","32","31","38","1","12","3",".257",".322",".351",".673",".297","3.0","1.0","1.3","13510"
"Ryan Goins","Blue Jays","109","406","367","93","17","2","5","41","38","35","78","1","4","2",".253",".318",".352",".669",".297","7.0","-0.2","1.5","9807"
"Brandon Phillips","Reds","134","584","545","148","19","1","9","45","49","27","72","6","12","3",".272",".310",".360",".670",".293","4.0","0.9","1.2","791"
"Johnny Giavotella","Angels","124","484","447","117","23","2","5","40","41","30","58","2","4","1",".262",".308",".356",".664",".290","-1.0","0.2","1.0","6740"
"Ehire Adrianza","Giants","45","173","153","35","5","1","1","13","12","17","29","2","3","1",".229",".312",".294",".606",".276","2.0","0.1","0.4","8418"
"Omar Infante","Royals","101","376","356","88","16","3","3","28","26","16","53","1","3","1",".247",".279",".334",".614",".267","2.0","0.0","0.0","1609"
"Eric Sogard","Athletics","75","270","245","59","7","1","1","20","18","21","32","2","4","1",".241",".304",".290",".594",".266","2.0","0.3","0.2","7927"
