"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Miguel Cabrera","Tigers","144","633","539","178","38","1","29","96","113","85","95","4","2","1",".330",".422",".566",".988",".416","-1.0","-0.4","6.1","1744"
"Josh Donaldson","Blue Jays","154","690","603","174","37","2","35","122","111","74","124","6","5","0",".289",".368",".531",".899",".383","9.0","0.6","7.4","5038"
"Kris Bryant","Cubs","154","670","572","155","34","4","33","97","112","80","188","12","13","2",".271",".369",".517",".886",".379","4.0","1.5","6.5","15429"
"Manny Machado","Orioles","154","690","621","182","33","2","30","117","101","63","107","3","15","5",".293",".359",".498",".857",".369","11.0","0.7","6.7","11493"
"Nolan Arenado","Rockies","153","670","620","180","42","4","36","102","108","39","98","3","5","3",".290",".331",".545",".877",".368","7.0","-0.4","4.6","9777"
"Matt Carpenter","Cardinals","154","701","600","167","41","4","21","116","84","86","130","8","5","2",".278",".372",".465",".837",".362","-3.0","-0.2","5.0","8090"
"Justin Turner","Dodgers","124","538","475","141","26","1","16","67","74","49","85","10","4","1",".297",".372",".457",".829",".360","1.0","0.1","4.3","5235"
"Maikel Franco","Phillies","142","617","561","159","37","3","24","82","87","47","98","4","4","1",".283",".340",".488",".829",".355","-2.0","0.1","4.0","12179"
"Jung-ho Kang","Pirates","132","563","501","141","28","2","17","69","79","41","115","20","5","2",".281",".359",".447",".806",".353","1.0","-0.1","4.3","17182"
"Anthony Rendon","Nationals","138","618","543","154","34","3","17","96","74","62","103","7","9","2",".284",".361",".451",".812",".352","4.0","0.7","4.5","12861"
"David Wright","Mets","115","510","445","127","21","3","14","68","63","58","97","4","4","1",".285",".371",".440",".811",".352","-3.0","0.1","3.4","3787"
"Kyle Seager","Mariners","155","667","595","162","35","2","25","82","95","61","104","7","5","2",".272",".345",".464",".809",".348","5.0","-0.1","5.2","9785"
"Adrian Beltre","Rangers","141","606","553","161","32","2","18","68","78","44","71","4","2","0",".291",".345",".454",".799",".341","8.0","0.1","4.0","639"
"Evan Longoria","Rays","156","682","607","164","32","2","26","85","89","61","129","6","4","0",".270",".339",".458",".797",".339","7.0","0.5","5.0","9368"
"Mike Moustakas","Royals","148","628","570","156","33","1","22","75","85","45","83","8","4","2",".274",".333",".451",".784",".339","4.0","-0.3","3.9","4892"
"Joey Gallo","Rangers","93","385","331","75","14","2","19","52","56","49","121","3","5","1",".227",".330",".453",".783",".338","3.0","0.4","1.9","14128"
"Todd Frazier","White Sox","156","665","603","158","32","2","28","83","94","47","144","10","8","3",".262",".323",".461",".784",".338","5.0","0.1","4.1","785"
"Nick Castellanos","Tigers","153","625","571","156","36","4","20","73","78","46","138","2","3","2",".273",".326",".455",".782",".336","-7.0","-0.5","2.5","11737"
"Hector Olivera","Braves","136","580","531","145","28","6","17","65","74","38","104","8","3","0",".273",".329",".444",".774",".335","-4.0","0.3","2.0","17528"
"Danny Valencia","Athletics","122","513","469","129","27","1","17","60","67","38","106","1","3","2",".275",".327",".446",".773",".332","-2.0","-0.4","2.4","6364"
"Brock Holt","Red Sox","108","455","410","118","19","4","7","45","51","38","82","3","8","1",".288",".349",".405",".754",".331","2.0","1.0","2.3","9345"
"Trevor Plouffe","Twins","139","578","524","131","34","2","20","66","72","45","111","5","4","1",".250",".313",".437",".750",".324","2.0","0.2","2.7","7462"
"Matt Duffy","Giants","148","631","585","166","28","5","12","59","69","37","98","5","14","2",".284",".330",".410",".740",".322","6.0","1.7","3.9","13836"
"Chase Headley","Yankees","149","595","528","137","25","1","14","62","68","56","123","9","4","2",".259",".340",".390",".730",".321","6.0","-0.3","3.0","4720"
"Luis Valbuena","Astros","129","518","454","105","22","2","19","60","65","58","108","4","2","1",".231",".322",".414",".736",".321","-1.0","-0.2","2.0","4969"
"Josh Harrison","Pirates","142","627","587","170","31","5","8","61","58","30","92","8","13","4",".290",".332",".400",".732",".320","0.0","0.7","2.8","8202"
"Adonis Garcia","Braves","123","504","468","126","23","2","15","53","56","27","100","4","4","1",".269",".312",".423",".735",".317","-1.0","0.2","1.8","13777"
"Martin Prado","Marlins","129","565","524","148","23","2","11","53","55","31","71","4","2","1",".282",".324",".397",".721",".313","8.0","-0.3","2.6","3312"
"Pablo Sandoval","Red Sox","136","569","524","141","29","2","13","55","61","34","78","6","0","0",".269",".318",".406",".725",".313","-4.0","-0.3","1.2","5409"
"Lonnie Chisenhall","Indians","126","505","461","122","25","1","11","48","53","35","92","5","4","1",".265",".321",".395",".716",".312","8.0","0.2","1.8","7571"
"Brett Lawrie","White Sox","126","526","488","127","22","3","14","52","57","29","107","6","5","2",".260",".308",".404",".712",".309","-4.0","0.0","1.2","5247"
"David Freese"," ","130","533","482","120","24","1","13","50","53","37","120","10","1","1",".249",".313",".384",".697",".307","-1.0","-0.4","1.4","9549"
"Juan Uribe"," ","95","380","347","89","16","0","9","35","39","29","82","2","2","0",".256",".316",".380",".696",".303","3.0","0.2","1.3","454"
"Giovanny Urshela","Indians","105","412","380","96","16","2","9","41","42","29","79","2","2","1",".253",".308",".376",".685",".300","6.0","-0.2","1.6","10681"
"Cody Asche","Phillies","75","305","285","72","12","1","6","25","27","17","72","2","1","0",".253",".298",".365",".663",".289","-4.0","0.1","-0.4","11997"
