Free Agents Year to Date MLB True Talent Stats
Avail,Player,Eligible,BPA,AB,2B,3B,HR,BB,KO,R,RBI,SB,BA,OBP,SLG,OPS,Rank,
FA,Justin Smoak 1B | TOR ,"1B,CI,U",138,127,6,1,8,10,27,17,25,0,0.283,0.333,0.535,0.8688,78
W ( 5/18),Domingo Santana RF | MIL ,"RF,U",137,118,7,0,5,17,36,20,16,4,0.280,0.372,0.466,0.8384,95
FA,Adam Eaton RF | WAS ,"CF,RF,U",107,91,7,1,2,14,18,24,13,3,0.297,0.393,0.462,0.8541,124
FA,Yunel Escobar 3B | LAA ,"3B,CI,U",170,158,7,0,5,12,19,22,17,0,0.272,0.324,0.411,0.7349,126
FA,Leury Garcia CF | CHW ,"CF,U",113,104,6,0,4,3,14,15,14,3,0.308,0.342,0.481,0.8231,132
FA,Chase Headley 3B | NYY ,"3B,CI,U",139,123,9,1,3,15,34,21,15,4,0.260,0.345,0.423,0.7681,135
FA,Trey Mancini DH | BAL ,"LF,U",85,80,4,0,7,4,28,9,20,0,0.287,0.318,0.600,0.9176,152
FA,Josh Harrison 2B | PIT ,"2B,3B,CI,MI,U",148,132,5,1,5,6,22,15,12,2,0.288,0.354,0.455,0.8083,161
FA,Nick Markakis RF | ATL ,"RF,U",153,133,8,1,1,16,33,20,18,0,0.308,0.392,0.406,0.7982,163
FA,Andrew Toles LF | LAD ,"CF,LF,U",102,96,3,0,5,5,16,17,15,0,0.271,0.314,0.458,0.7721,187
FA,Tommy Joseph 1B | PHI ,"1B,CI,U",115,102,7,0,5,11,29,16,16,1,0.255,0.330,0.471,0.8010,188
FA,Yadier Molina C | STL ,"C,U",131,115,6,0,3,9,18,14,14,3,0.270,0.323,0.400,0.7231,207
FA,Lonnie Chisenhall RF | CLE ,"CF,RF,U",83,71,5,1,4,8,14,10,19,1,0.282,0.358,0.549,0.9073,210
FA,Jed Lowrie 2B | OAK ,"2B,MI,U",155,137,10,0,4,16,22,21,9,0,0.277,0.355,0.438,0.7928,211
FA,Ezequiel Carrera RF | TOR ,"LF,RF,U",109,102,2,1,3,4,21,11,11,2,0.314,0.340,0.441,0.7808,228
W ( 5/17),Yangervis Solarte 3B | SD ,"2B,3B,CI,MI,U",159,140,5,0,3,13,18,15,20,2,0.236,0.315,0.336,0.6502,231
FA,Chris Taylor 3B | LAD ,"2B,3B,CI,MI,U",80,68,4,0,3,12,20,14,13,0,0.324,0.425,0.515,0.9397,235
FA,Adonis Garcia 3B | ATL ,"3B,CI,U",144,135,3,0,4,6,19,15,16,2,0.237,0.278,0.348,0.6259,237
FA,Yuli Gurriel 3B | HOU ,"1B,3B,CI,U",131,123,8,0,3,3,16,13,14,0,0.293,0.328,0.431,0.7591,248
FA,Max Kepler RF | MIN ,"RF,U",126,109,6,1,3,14,25,16,13,2,0.248,0.341,0.404,0.7449,253
FA,Ryan Schimpf 2B | SD ,"2B,3B,CI,MI,U",141,117,2,0,9,22,48,16,18,0,0.154,0.284,0.402,0.6854,256
FA,Trevor Plouffe 3B | OAK ,"3B,CI,U",132,120,3,0,6,11,37,14,12,1,0.233,0.295,0.408,0.7038,260
FA,Jett Bandy C | MIL ,"C,U",83,77,5,0,5,5,19,11,11,1,0.273,0.325,0.532,0.8578,263
FA,Matt Davidson DH | CHW ,"3B,CI,U",90,82,2,1,6,7,34,11,17,0,0.220,0.278,0.488,0.7656,265
FA,Nick Ahmed SS | ARI ,"MI,SS,U",85,79,3,0,4,6,17,13,11,2,0.253,0.306,0.443,0.7489,266
FA,Scooter Gennett 2B | CIN,"2B,MI,U",74,71,4,2,3,3,15,10,17,0,0.296,0.324,0.535,0.8595,267
W ( 5/17),Kolten Wong 2B | STL ,"2B,MI,U",131,112,10,2,1,13,19,16,13,3,0.259,0.354,0.411,0.7646,268
FA,Seth Smith RF | BAL ,"LF,RF,U",86,73,6,0,3,10,16,15,8,1,0.301,0.395,0.507,0.9022,271
W ( 5/17),Danny Valencia 3B | SEA ,"1B,3B,CI,RF,U",138,124,6,1,4,13,33,13,16,1,0.242,0.312,0.403,0.7148,272
FA,Robinson Chirinos C | TEX ,"C,U",46,37,1,0,5,7,10,11,11,0,0.297,0.435,0.730,1.1645,274
FA,Jorge Polanco SS | MIN ,"MI,SS,U",130,118,8,0,2,10,11,13,16,2,0.254,0.308,0.373,0.6806,277
W ( 5/18),Ben Gamel RF | SEA ,"RF,U",83,68,6,0,2,14,22,14,13,0,0.309,0.427,0.485,0.9121,279
FA,Mitch Moreland 1B | BOS ,"1B,CI,U",152,130,15,0,2,21,35,17,16,0,0.254,0.362,0.415,0.7772,287
FA,Orlando Arcia SS | MIL ,"MI,SS,U",127,118,4,1,4,8,25,16,14,1,0.220,0.270,0.373,0.6427,296
FA,Eddie Rosario LF | MIN ,"CF,LF,U",124,118,5,1,3,4,22,13,11,1,0.271,0.293,0.407,0.6995,297
FA,Erick Aybar SS | SD ,"MI,SS,U",134,119,4,0,4,12,20,15,8,4,0.218,0.293,0.353,0.6462,301
FA,Joe Panik 2B | SF ,"2B,MI,U",152,137,7,1,1,11,20,15,11,2,0.270,0.322,0.358,0.6800,306
FA,Joe Mauer 1B | MIN ,"1B,CI,U",126,117,5,0,2,8,15,16,14,0,0.256,0.309,0.350,0.6600,316
FA,Jose Reyes 3B | NYM ,"3B,CI,MI,SS,U",146,129,5,1,3,15,19,19,12,4,0.186,0.269,0.310,0.5790,318
FA,Carlos Beltran DH | HOU ,"RF,U",142,134,9,0,3,5,35,16,12,0,0.254,0.289,0.388,0.6768,319
FA,Michael Saunders LF | PHI ,"LF,RF,U",127,118,6,1,3,8,28,16,13,0,0.246,0.299,0.390,0.6890,321
FA,James McCann C | DET ,"C,U",97,84,1,0,7,12,24,10,16,0,0.179,0.278,0.441,0.7188,322
FA,Gerardo Parra LF | COL ,"LF,U",104,100,2,0,3,3,22,12,13,0,0.270,0.298,0.380,0.6781,324
FA,Cameron Maybin CF | LAA,"CF,LF,U",131,111,4,0,1,19,26,16,7,9,0.180,0.305,0.243,0.5486,327
FA,Andrelton Simmons SS | LAA ,"MI,SS,U",161,146,4,0,3,13,21,11,13,3,0.240,0.304,0.329,0.6331,329
