Avail,Player,INN,GS,BFP,PC,W,S,K,BBI,HA,HRA,ER,ERA,WHIP,Kd9,BBd9,Rank
FA,Alex Faedo SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Dylan Baker SP | LAD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tanner Rainey SP | CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Chad Sobotka RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jose Leclerc RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Josh Smith RP | BOS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Yunesky Maya RP | LAA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Kazuhisa Makita RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Kyle Hooper RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Eric Lauer SP | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Arnold Leon RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Jose Cisnero P | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Nick Neidert SP | MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,John Kuchno RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Springer International,AJ Ramos RP | NYM ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Curtis Partch RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Steven Jennings SP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Justin Thomas RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Zac Lowther RP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Screaming Prairie Camels,Nate Jones RP | CHW ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
FA,Tucker Davidson SP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
