All Pitchers Year to Date MLB True Talent Categories,,,,,,,,,,,,,,,,,
Avail,Player,INN,GS,BFP,PC,W,S,K,BB,H,HR,ER,ERA,WHIP,Kd9,BBd9,Rank
W ,Ryan Weathers SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Alex Faedo SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Dylan Baker SP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Patrick Ruotolo RP | SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Miguel Socolovich RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Colton Turner RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tanner Rainey RP | WAS ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Chad Sobotka RP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Screaming Prairie Camels,Felipe Vazquez RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Cackleberry Czars,Jose Leclerc RP | TEX ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Josh Smith RP | CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kazuhisa Makita RP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Hooper RP | LAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Eddie Butler RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Eric Lauer SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nick Neidert SP | MIA ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,John Kuchno RP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Fernando Abad RP | PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jason Vargas SP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,AJ Ramos RP | NYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Crouse SP | DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Al Alburquerque RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Mitch Lively RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Steven Jennings SP | PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Johnny Cueto SP | SF ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Scott Weathersby RP | HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Justin Thomas RP | WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Luis Perdomo SP | SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Zac Lowther SP | BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Funkhouser SP | DET ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jon Harris SP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
DickCards,Collin McHugh RP | HOU ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Nate Jones RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tucker Davidson SP | ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Marc Rzepczynski RP | SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
Springer International,Chase Anderson SP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Caleb Frare RP | CHW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Magill RP | MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tristan Archer RP | MIL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Carlos Torres RP | SD ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Grant Sides P | ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Matt Frawley RP | NYY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Kyle Crockett RP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Jharel Cotton SP | OAK ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,David Berg RP | CHC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Austin Pruitt RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Brad Allen RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Tanner Dodson RP | TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
W ,Rhiner Cruz RP | TOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9999
