All Pitchers  Season   Projections Standard Categories
Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,K,BB,H,ERA,WHIP,Rank,
Suburban Lifestyle Dream,Gerrit Cole SP | NYY ,80,13,13,11,0,7,3,0,0,99,27,66,3.25,1.16,7
Union State Connectors,Jacob deGrom SP | NYM ,73,12,12,10,0,5,2,0,0,82,18,60,2.59,1.07,13
Screaming Prairie Camels,Max Scherzer SP | WAS,74,12,12,9,0,6,3,0,0,89,21,64,3.27,1.14,14
Johnny and the Rockers,Justin Verlander SP | HOU ,78,13,13,10,1,7,3,0,0,98,21,63,3.32,1.07,17
Screaming Prairie Camels,Shane Bieber SP | CLE ,66,11,11,8,1,5,3,0,0,76,14,62,3.53,1.15,19
SweepTheLegJohnny,Mike Clevinger SP | CLE ,65,12,12,8,0,7,2,0,0,77,20,57,2.91,1.18,22
Springer International,Stephen Strasburg SP | WAS ,69,12,12,9,0,6,3,0,0,78,19,61,3.23,1.15,23
Omak Goat Rodeo,Walker Buehler SP | LAD ,67,11,11,7,1,5,1,0,0,74,17,58,3.33,1.11,24
Johnny and the Rockers,Jack Flaherty SP | STL ,62,12,12,7,0,5,2,0,0,65,19,53,3.02,1.15,25
12oz Darlings,Patrick Corbin SP | WAS ,69,12,12,9,0,5,2,0,0,80,22,66,3.75,1.26,26
Cackleberry Czars,Charlie Morton SP | TB,65,12,12,7,0,6,2,0,0,73,21,58,3.31,1.21,39
You Drink Bitch's Wine,Luis Castillo SP | CIN ,64,12,12,7,0,6,3,0,0,71,21,54,3.52,1.17,40
Droitwich Murdercocks,Clayton Kershaw SP | LAD ,67,11,11,9,0,6,2,0,0,67,18,62,3.33,1.18,41
Chicken Inn of Utica,Lucas Giolito SP | CHW,66,12,12,8,1,6,3,0,0,75,25,58,4.36,1.26,42
SweepTheLegJohnny,Aaron Nola SP | PHI ,64,12,12,8,0,5,2,0,0,70,22,62,4.06,1.31,43
Droitwich Murdercocks,Zack Greinke SP | HOU ,70,11,11,8,0,6,2,0,0,76,16,60,3.34,1.09,46
Suburban Lifestyle Dream,Blake Snell SP | TB ,54,11,11,6,0,5,3,0,0,65,18,46,3.33,1.19,47
Cackleberry Czars,Chris Paddack SP | SD ,64,12,12,5,0,4,3,0,0,72,17,55,3.80,1.12,53
Suburban Lifestyle Dream,Yu Darvish SP | CHC ,59,11,11,4,0,3,2,0,0,66,21,53,4.10,1.25,54
Omak Goat Rodeo,Tyler Glasnow SP | TB ,52,11,11,4,0,4,3,0,0,60,17,44,3.63,1.17,56
Chicken Inn of Utica,Josh Hader RP | MIL,29,23,0,0,0,1,1,15,4,55,9,16,2.73,0.84,67
Bus 3,Trevor Bauer SP | CIN ,65,11,11,7,0,5,3,0,0,71,22,61,3.84,1.26,71
The Midnight Sillies,Sonny Gray SP | CIN ,58,12,12,6,0,4,3,0,0,62,21,53,3.86,1.27,72
Chicken Inn of Utica,Kirby Yates RP | SD ,23,23,0,0,0,1,1,11,1,36,6,17,1.54,0.99,77
Springer International,Brandon Woodruff SP | MIL,56,12,12,5,0,4,3,0,0,54,19,58,4.50,1.38,78
Johnny and the Rockers,Jose Berrios SP | MIN ,70,12,12,8,0,6,2,0,0,73,22,67,3.33,1.27,90
Cackleberry Czars,Mike Soroka SP | ATL ,60,11,11,8,0,4,2,0,0,55,19,58,3.56,1.27,92
Union State Connectors,Roberto Osuna RP | HOU ,20,23,0,0,0,1,1,16,2,22,4,15,3.10,0.93,100
Johnny and the Rockers,Frankie Montas SP | OAK ,60,11,11,8,0,5,3,0,0,55,17,65,3.56,1.35,101
FA,Corey Kluber SP | TEX ,63,11,11,8,0,5,3,0,0,65,22,68,4.43,1.43,102
Springer International,Carlos Carrasco SP | CLE ,65,11,11,5,1,6,4,0,0,72,15,60,3.72,1.15,104
Union State Connectors,James Paxton SP | NYY ,61,12,12,6,0,6,2,0,0,74,20,58,3.67,1.27,106
Bus 3,Zac Gallen SP | ARI ,58,11,11,4,0,3,3,0,0,60,23,52,3.83,1.28,107
Suburban Lifestyle Dream,Lance Lynn SP | TEX,67,12,12,7,0,5,4,0,0,68,25,74,4.79,1.46,108
Springer International,Kenley Jansen RP | LAD ,21,23,0,0,0,1,1,17,4,26,5,16,3.43,1.00,112
You Drink Bitch's Wine,Brad Hand RP | CLE,21,24,0,0,0,1,1,15,3,33,8,19,3.43,1.29,113
The Midnight Sillies,Hyun-Jin Ryu SP | TOR ,62,11,11,8,0,4,3,0,0,56,16,66,3.61,1.32,114
Screaming Prairie Camels,Liam Hendriks RP | OAK ,22,23,0,0,0,1,1,16,4,31,6,17,2.02,1.03,118
12oz Darlings,Aroldis Chapman RP | NYY ,19,22,0,0,0,1,1,15,2,32,10,12,2.29,1.12,120
Johnny and the Rockers,Taylor Rogers RP | MIN ,29,26,0,0,0,1,1,12,3,39,6,26,2.76,1.09,121
Bus 3,Kenta Maeda SP | MIN ,55,11,11,4,0,4,3,0,0,57,18,56,4.07,1.34,122
Suburban Lifestyle Dream,Matthew Boyd SP | DET ,58,11,11,6,0,3,4,0,0,64,17,60,4.81,1.33,123
Bus 3,Ken Giles RP | TOR ,25,27,0,0,0,1,1,14,0,40,6,19,2.45,0.97,132
Droitwich Murdercocks,Nick Anderson RP | TB,18,26,0,0,0,1,1,13,4,32,5,15,3.38,1.07,133
Bus 3,Julio Urias RP | LAD ,51,11,11,3,0,4,2,0,0,54,15,45,3.48,1.16,134
You Drink Bitch's Wine,Max Fried SP | ATL ,57,11,11,5,0,5,3,0,0,57,19,58,3.77,1.34,135
Chicken Inn of Utica,Zack Wheeler SP | PHI,64,11,11,7,0,4,3,0,0,69,18,67,4.06,1.32,136
Screaming Prairie Camels,Dinelson Lamet SP | SD ,61,12,12,4,0,4,3,0,0,65,22,56,4.23,1.26,137
Springer International,Madison Bumgarner SP | ARI,63,11,11,8,0,3,3,0,0,60,19,61,4.00,1.27,138
Chicken Inn of Utica,Jesus Luzardo RP | OAK ,42,8,8,4,0,3,3,0,0,34,15,45,4.25,1.42,139
Suburban Lifestyle Dream,Shohei Ohtani DH | LAA ,41,9,9,4,0,2,3,0,0,44,16,41,4.54,1.37,140
Springer International,Edwin Diaz RP | NYM ,22,24,0,0,0,1,1,14,2,41,7,18,3.97,1.10,142
Johnny and the Rockers,Craig Kimbrel RP | CHC ,22,24,0,0,0,1,1,15,2,33,13,16,4.09,1.32,144
Johnny and the Rockers,Lance McCullers SP | HOU ,59,11,11,7,0,5,3,0,0,65,24,59,4.55,1.40,145
Bus 3,Rich Hill SP | MIN ,51,11,11,5,0,4,2,0,0,50,20,54,3.88,1.45,148
SweepTheLegJohnny,Carlos Martinez RP | STL,51,11,11,6,0,3,4,0,0,56,23,53,3.83,1.47,149
Screaming Prairie Camels,Sean Manaea SP | OAK ,64,12,12,7,0,6,3,0,0,52,16,61,3.34,1.19,153
Omak Goat Rodeo,Brandon Workman RP | BOS ,30,26,0,0,0,1,0,12,3,43,17,16,2.40,1.10,154
DJ Dootchy Dootch and 30-50 Feral Berm Angels,Hector Neris RP | PHI,26,25,0,0,0,1,1,14,3,38,9,19,3.46,1.08,155
DJ Dootchy Dootch and 30-50 Feral Berm Angels,Kyle Hendricks SP | CHC,62,11,11,7,0,5,3,0,0,58,14,62,3.88,1.21,158
Chicken Inn of Utica,Mike Minor SP | TEX ,64,11,11,6,0,5,3,0,0,58,22,67,4.04,1.38,159
You Drink Bitch's Wine,German Marquez SP | COL,71,12,12,7,0,4,4,0,0,74,20,72,4.65,1.28,160
The Midnight Sillies,Eduardo Rodriguez SP | BOS ,60,11,11,5,0,5,3,0,0,61,23,62,4.18,1.41,161
Union State Connectors,Robbie Ray SP | ARI ,53,11,11,4,0,4,2,0,0,65,23,51,4.19,1.38,162
W ( 8/5),Luke Weaver SP | ARI ,52,11,11,5,0,4,3,0,0,52,16,54,4.33,1.35,163
The Midnight Sillies,Hansel Robles RP | LAA ,26,26,0,0,0,1,1,14,2,31,7,21,2.70,1.05,174
Union State Connectors,Raisel Iglesias RP | CIN ,23,25,0,0,0,1,1,12,2,30,8,20,3.52,1.22,177
SweepTheLegJohnny,Masahiro Tanaka SP | NYY ,57,10,10,5,0,5,2,0,0,54,14,56,3.75,1.21,185
Screaming Prairie Camels,Josh James RP | HOU ,53,11,11,4,0,4,2,0,0,61,17,47,3.69,1.19,186
Springer International,Alex Wood SP | LAD ,56,11,11,5,0,5,2,0,0,52,15,56,3.65,1.25,187
FA,Mike Foltynewicz SP | ATL ,58,11,11,5,0,5,3,0,0,54,21,53,3.83,1.26,188
Springer International,Ross Stripling RP | LAD ,48,11,11,3,0,3,2,0,0,49,10,51,3.94,1.27,190
Bus 3,Corbin Burnes RP | MIL,56,11,11,4,0,3,3,0,0,55,19,55,4.34,1.32,191
Omak Goat Rodeo,Nate Pearson SP | TOR ,13,7,3,1,0,1,1,0,0,13,5,13,4.15,1.38,192
Cackleberry Czars,Alex Colome RP | CHW ,23,24,0,0,0,1,1,11,2,23,9,18,3.09,1.16,193
The Midnight Sillies,Sean Doolittle RP | WAS,22,23,0,0,0,1,1,12,2,26,5,20,3.22,1.12,211
Bus 3,Keone Kela RP | PIT ,23,24,0,0,0,1,1,10,3,28,9,16,2.70,1.07,212
FA,Jose Leclerc RP | TEX ,21,24,0,0,0,1,1,12,4,33,12,15,3.80,1.27,213
Cackleberry Czars,Archie Bradley RP | ARI ,21,24,0,0,0,1,1,14,4,26,10,21,3.74,1.43,214
The Midnight Sillies,Jake Odorizzi SP | MIN ,59,12,12,4,0,5,3,0,0,62,22,60,4.12,1.39,216
You Drink Bitch's Wine,Andrew Heaney SP | LAA,49,9,9,4,0,3,3,0,0,58,15,46,4.01,1.24,217
