"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Mike Trout","Angels","159","686","538","159","30","3","45","124","115","128","140","13","17","4",".296",".439",".614","1.053",".427","-0.9","3.4","9.0","10155"
"Alex Bregman","Astros","152","658","548","157","38","2","33","107","105","95","86","9","8","3",".287",".397",".545",".943",".393","-0.3","0.3","6.6","17678"
"Cody Bellinger","Dodgers","152","658","560","162","32","4","42","107","121","90","125","4","14","4",".290",".388",".584",".973",".394","3.4","1.5","6.5","15998"
"Francisco Lindor","Indians","154","665","595","172","38","2","33","107","89","56","95","5","21","6",".289",".353",".527",".879",".362","8.4","1.0","5.8","12916"
"Christian Yelich","Brewers","154","665","568","172","35","4","36","108","106","83","137","7","24","5",".303",".397",".569",".966",".397","0.8","4.0","5.7","11477"
"Matt Chapman","Athletics","156","672","589","148","36","4","35","98","98","69","165","9","3","2",".252",".337",".505",".842",".351","11.7","0.7","5.7","16505"
"Anthony Rendon","Angels","154","665","573","161","38","2","28","95","103","75","99","9","5","2",".280",".368",".503",".871",".363","4.9","0.7","5.5","12861"
"Aaron Judge","Yankees","149","644","534","137","23","1","40","103","99","98","201","6","6","3",".257",".375",".530",".905",".376","10.2","0.1","5.5","15640"
"Mookie Betts","Dodgers","154","665","575","165","37","4","31","114","88","77","95","5","18","4",".287",".373",".529",".902",".374","6.5","4.2","5.4","13611"
"Juan Soto","Nationals","156","672","555","163","32","4","36","107","117","109","127","3","10","3",".294",".410",".560",".970",".402","-1.5","0.6","5.4","20123"
"Jose Ramirez","Indians","152","658","575","161","41","4","31","98","104","72","85","5","27","7",".279",".361",".525",".886",".366","3.5","4.4","5.4","13510"
"Carlos Correa","Astros","149","644","559","152","32","2","32","90","111","73","144","4","3","1",".271",".356",".506",".862",".359","-0.6","0.7","5.1","14162"
"Yasmani Grandal","White Sox","136","544","452","107","20","1","25","69","71","84","132","3","3","2",".237",".358",".455",".813",".346","5.7","-2.6","5.1","11368"
