"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","playerid"
"Mike Trout","Angels","108","452","351","104","21","2","27","80","69","88","89","8","15","4",".297",".444",".600","1.044",".433","1.3","2.5","6.6","10155"
"Christian Yelich","Brewers","100","420","361","109","22","2","22","68","64","51","85","4","13","3",".303",".393",".556",".949",".399","1.6","1.9","4.0","11477"
"J.D. Martinez","Red Sox","104","438","385","114","23","1","26","67","77","46","102","3","3","1",".296",".374",".564",".938",".392","-0.1","-1.2","2.8","6184"
"Cody Bellinger","Dodgers","101","424","366","105","20","3","25","65","72","52","91","2","9","3",".286",".374",".562",".937",".391","4.0","1.1","4.1","15998"
"Juan Soto","Nationals","102","429","362","105","20","2","21","63","68","62","89","1","5","2",".289",".391",".528",".920",".390","-4.6","0.2","2.8","20123"
"Freddie Freeman","Braves","107","448","385","115","26","2","20","65","65","54","87","5","4","2",".297",".389",".533",".922",".389","2.6","0.1","3.4","5361"
"Nolan Arenado","Rockies","110","460","411","121","27","3","27","71","82","43","74","2","2","2",".295",".362",".570",".932",".389","4.3","-0.2","3.8","9777"
"Giancarlo Stanton","Yankees","60","252","218","57","10","0","19","40","47","29","75","3","1","0",".263",".355",".573",".929",".388","0.5","-0.1","1.8","4949"
"Anthony Rizzo","Cubs","110","460","387","109","23","2","22","65","73","55","63","15","5","3",".281",".388",".521",".909",".386","3.2","-0.8","3.4","3473"
"Mookie Betts","Red Sox","105","443","382","113","27","2","18","75","60","53","61","3","16","4",".297",".385",".522",".907",".385","9.3","3.1","4.6","13611"
"Kris Bryant","Cubs","104","436","367","102","23","2","20","68","58","54","92","11","4","2",".277",".383",".516",".899",".384","-0.2","1.3","3.9","15429"
"Bryce Harper","Phillies","106","447","361","91","20","0","25","68","70","80","116","3","7","3",".252",".390",".519",".910",".383","-0.2","0.6","3.4","11579"
"Aaron Judge","Yankees","79","333","276","71","11","1","20","52","51","51","104","3","4","2",".258",".376",".524",".900",".382","3.1","0.2","2.8","15640"
"Joey Gallo","Rangers","101","426","352","80","16","2","31","67","70","66","153","5","5","2",".229",".355",".549",".903",".379","-0.4","1.3","3.1","14128"
"Anthony Rendon","Nationals","101","424","368","107","28","1","17","62","63","47","65","6","3","1",".290",".376",".512",".888",".378","3.4","0.8","3.9","12861"
"Alex Bregman","Astros","105","439","373","103","24","2","20","65","64","55","61","6","7","3",".276",".374",".507",".882",".377","0.2","0.3","4.1","17678"
"Charlie Blackmon","Rockies","103","432","386","113","20","5","19","69","52","34","81","7","7","4",".292",".357",".516",".873",".371","-1.6","0.3","1.8","7859"
"Joc Pederson","Dodgers","75","313","266","66","14","2","18","47","46","38","68","5","2","2",".248",".352",".524",".876",".371","-0.7","0.0","2.1","11899"
"Rhys Hoskins","Phillies","105","443","374","94","19","1","25","63","74","60","106","5","3","2",".251",".360",".506",".866",".370","0.2","0.3","2.5","16472"
"Josh Donaldson","Braves","88","369","309","80","17","1","17","53","49","53","86","3","2","1",".260",".371",".486",".857",".369","1.0","0.0","2.8","5038"
"Nelson Cruz","Twins","96","404","354","96","17","1","23","54","70","39","92","8","1","0",".271",".354",".515",".869",".369","0.0","-1.6","1.8","2434"
"Joey Votto","Reds","103","433","352","96","18","1","13","57","48","72","78","5","2","1",".273",".400",".447",".847",".368","0.9","-1.9","2.1","4314"
"Justin Turner","Dodgers","102","429","370","108","22","1","14","57","56","43","60","11","3","1",".291",".379",".472",".851",".367","0.8","-0.2","3.5","5235"
"Francisco Lindor","Indians","112","471","417","120","24","2","22","72","61","43","67","4","14","5",".287",".357",".510",".867",".367","6.7","0.8","4.5","12916"
"Paul Goldschmidt","Cardinals","108","452","381","103","18","1","19","65","59","63","111","4","6","2",".271",".378",".479",".857",".366","2.1","0.8","2.8","9218"
"Vladimir Guerrero Jr.","Blue Jays","101","424","380","111","21","1","18","58","59","36","60","4","3","2",".293",".358",".499",".857",".365","-1.6","-0.4","2.9","19611"
"George Springer","Astros","91","383","331","89","16","1","18","61","51","42","81","5","5","3",".269",".358",".491",".849",".364","-0.8","0.2","2.7","12856"
"Josh Bell","Pirates","110","460","401","112","23","3","18","60","66","54","86","2","2","3",".279",".364",".489",".853",".364","-4.1","-1.7","1.8","13145"
"Jose Ramirez","Indians","108","452","390","107","26","2","18","65","61","54","57","4","19","6",".273",".364",".490",".854",".364","2.0","2.8","3.7","13510"
"Ronald Acuna Jr.","Braves","102","429","381","106","18","3","20","62","58","40","107","5","14","6",".277",".351",".500",".851",".363","0.7","0.7","2.8","18401"
"Daniel Murphy","Rockies","74","312","284","85","20","2","11","41","47","23","38","2","2","1",".298",".353",".497",".850",".360","-0.8","-0.2","0.8","4316"
"Trevor Story","Rockies","105","441","397","106","23","3","24","64","69","35","125","5","14","4",".267",".332",".518",".850",".359","1.2","1.3","2.8","12564"
"Shohei Ohtani","Angels","88","371","327","87","17","1","19","52","59","38","105","2","7","3",".267",".345",".498",".843",".359","0.0","0.2","1.8","19755"
"Gary Sanchez","Yankees","82","344","306","76","13","1","23","50","61","32","87","4","2","1",".249",".327",".522",".848",".359","-2.4","-0.2","2.3","11442"
"Jose Altuve","Astros","97","406","361","107","20","2","13","57","50","36","53","5","11","4",".298",".366",".468",".834",".358","-1.6","0.3","3.0","5417"
"Michael Conforto","Mets","92","385","325","81","17","1","19","51","54","51","95","6","3","2",".250",".359",".478",".838",".358","2.0","0.4","2.6","16376"
"Andrew McCutchen","Phillies","98","410","347","89","18","1","17","58","50","55","92","4","6","3",".258",".365",".463",".827",".358","-0.7","-0.6","2.1","9847"
"Carlos Correa","Astros","100","420","367","99","21","2","18","57","66","47","95","3","3","1",".269",".354",".482",".836",".358","-1.5","0.5","3.4","14162"
"Eugenio Suarez","Reds","103","433","377","98","18","1","22","57","66","46","104","5","3","2",".261",".347",".489",".836",".356","0.6","-0.9","2.7","12552"
"Manny Machado","Padres","106","447","398","110","21","1","22","58","63","43","77","2","6","2",".276",".348",".496",".844",".356","3.4","-0.2","3.5","11493"
