"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","playerid"
"Edwin Diaz","Mets","3","1","22","4","2.53","0","44","44.0","30","12","5","69","14","1.00","13.98","2.88","2.51","1.3","14710"
"Aroldis Chapman","Yankees","3","1","8","12","2.56","0","44","44.0","28","13","4","69","20","1.09","14.12","3.98","2.62","1.4","10233"
"Felipe Vazquez","Pirates","2","1","22","3","2.82","0","45","45.0","35","14","4","59","15","1.12","11.81","3.08","2.75","1.2","12076"
"Will Smith","Giants","2","2","22","4","2.87","0","44","44.0","34","14","4","59","14","1.10","12.07","2.92","2.77","1.1","8048"
"Josh Hader","Brewers","3","2","16","5","2.81","0","43","43.0","27","14","6","75","19","1.05","15.52","3.91","2.81","1.2","14212"
"Kirby Yates","Padres","3","2","22","3","2.90","0","44","44.0","32","14","5","64","15","1.09","13.19","3.13","2.86","1.1","9073"
"Craig Kimbrel","","3","2","7","0","2.94","0","55","55.0","37","18","6","84","23","1.10","13.72","3.83","2.89","1.6","6655"
"Ken Giles","Blue Jays","2","2","22","2","3.26","0","44","44.0","37","16","5","55","13","1.14","11.40","2.59","2.90","1.2","12910"
"Chris Sale","Red Sox","11","4","0","0","3.00","22","22","134.0","106","45","15","174","30","1.02","11.68","2.00","2.90","3.7","10603"
"Jacob deGrom","Mets","9","5","0","0","2.97","21","21","133.0","110","44","14","162","34","1.08","10.98","2.28","2.90","3.6","10954"
"Dellin Betances","Yankees","1","1","0","2","2.94","0","24","24.0","16","8","2","36","11","1.13","13.57","4.19","2.94","0.2","6216"
"Max Scherzer","Nationals","11","5","0","0","3.01","22","22","142.0","109","47","17","186","36","1.02","11.83","2.27","2.95","3.9","3137"
"Ryan Pressly","Astros","3","1","3","9","3.02","0","47","47.0","38","16","5","57","13","1.11","11.05","2.60","2.95","1.0","7005"
"Jose Alvarado","Rays","3","2","22","1","2.99","0","45","45.0","34","15","3","58","23","1.26","11.71","4.54","3.10","0.9","17780"
"Matt Barnes","Red Sox","3","2","4","11","3.28","0","44","44.0","34","16","4","61","19","1.23","12.59","3.95","3.11","0.8","12863"
"Gerrit Cole","Astros","10","5","0","0","3.27","22","22","131.0","107","48","15","166","38","1.10","11.41","2.58","3.12","3.3","13125"
"Roberto Osuna","Astros","3","1","22","3","3.20","0","43","43.0","38","15","5","47","9","1.08","9.67","1.85","3.16","1.0","13764"
"Kyle Kubat","White Sox","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.16","0.0","sa827380"
"Walker Lockett","Mets","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.16","0.0","13804"
"Kyle Dohy","Phillies","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.16","0.0","sa3004861"
"Brett Kennedy","Padres","0","0","0","0","0.00","0","0","0.0","0","0","0","0","0","0.00","0.00","0.00","3.16","0.0","17877"
"Blake Snell","Rays","10","6","0","0","3.10","21","21","124.0","98","43","13","155","47","1.17","11.23","3.38","3.19","2.8","13543"
"Blake Treinen","Athletics","3","2","20","3","3.14","0","47","47.0","39","16","4","51","18","1.21","9.85","3.39","3.21","1.0","12572"
