"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Mike Trout","LAA","157","678","541","157","29","3","44","116","113","119","144","11","4",".290",".426",".602","1.028",".425","6.0","10155"
"Juan Soto","WSN","154","678","556","166","34","3","36","107","107","114","118","11","4",".299",".419",".563",".982",".410","3.6","20123"
"Freddie Freeman","ATL","157","689","586","175","38","3","31","103","102","89","121","7","3",".299",".396",".533",".930",".392","12.9","5361"
"Christian Yelich","MIL","156","686","584","166","31","3","35","104","102","92","157","18","6",".285",".386",".526",".913",".386","10.9","11477"
"Bryce Harper","PHI","154","681","558","149","31","2","36","102","103","112","153","13","5",".267",".392",".521",".913",".384","18.7","11579"
"Mookie Betts","LAD","157","703","608","177","38","4","33","111","102","83","100","20","5",".292",".378",".528",".906",".383","3.8","13611"
"Cody Bellinger","LAD","151","674","581","161","35","3","38","106","107","84","127","14","4",".278",".371",".545",".917",".382","16.3","15998"
"Alex Bregman","HOU","154","668","562","156","35","3","31","99","97","92","89","5","1",".277",".383",".516",".899",".382","42.9","17678"
"Ronald Acuna Jr.","ATL","156","682","587","164","31","3","36","112","99","82","177","30","8",".280",".374",".530",".905",".382","1.7","18401"
"Aaron Judge","NYY","134","586","493","126","22","1","35","90","87","82","177","4","2",".256",".369",".518",".887",".376","54.2","15640"
"Anthony Rendon","LAA","154","664","565","159","35","2","28","93","92","84","94","2","1",".282",".379",".503",".883",".375","40.8","12861"
"Yordan Alvarez","HOU","131","570","491","135","29","2","30","82","91","69","142","3","1",".276",".367",".525",".892",".373","77.3","19556"
"George Springer","TOR","146","633","546","150","24","2","33","95","90","72","125","6","2",".275",".367",".507",".873",".373","49.4","12856"
"Fernando Tatis Jr.","SDP","154","680","602","166","33","6","36","106","102","65","183","25","7",".276",".353",".526",".879",".371","2.3","19709"
"Jose Ramirez","CLE","154","650","568","155","36","4","33","98","94","71","91","24","6",".273",".356",".522",".878",".370","10.9","13510"
"Trevor Story","COL","152","666","597","167","39","5","33","102","96","57","171","25","6",".279",".346",".528",".874",".368","12.6","12564"
"Eugenio Suarez","CIN","156","684","593","152","26","2","43","99","110","76","181","3","1",".257",".348",".521",".869",".366","72.6","12552"
"Marcell Ozuna","ATL","149","653","579","162","28","2","34","93","99","66","136","4","1",".280",".355",".509",".864",".366","45.4","10324"
"Vladimir Guerrero Jr.","TOR","144","626","554","162","32","2","24","86","85","61","92","3","1",".293",".366",".489",".855",".363","54.7","19611"
"Xander Bogaerts","BOS","151","647","574","166","33","2","27","90","85","62","116","7","2",".289",".360",".493",".853",".363","33.6","12161"
"Giancarlo Stanton","NYY","136","593","514","130","22","1","37","87","90","68","170","3","1",".252",".346",".512",".858",".362","119.7","4949"
"J.D. Martinez","BOS","149","640","563","156","32","2","30","87","90","67","150","2","1",".277",".355",".500",".855",".360","93.5","6184"
"Anthony Rizzo","CHC","157","692","585","156","30","3","27","91","92","79","101","7","3",".267",".372",".465",".837",".360","107.1","3473"
"Luke Voit","NYY","141","614","537","141","23","1","33","87","87","63","151","1","0",".263",".349",".494",".844",".360","60.3","14811"
"Justin Turner","LAD","126","565","492","139","30","1","20","77","76","53","91","2","0",".282",".364",".472",".836",".359","204.2","5235"
"Jesse Winker","CIN","117","513","443","119","23","1","22","69","68","60","99","2","1",".269",".363",".472",".835",".358","215.0","13590"
"Charlie Blackmon","COL","136","595","535","155","30","6","22","80","81","46","108","6","2",".289",".353",".491",".844",".358","87.2","7859"
"Corey Seager","LAD","149","666","599","169","39","2","28","92","97","59","120","2","1",".282",".349",".493",".841",".358","38.4","13624"
"Eloy Jimenez","CHW","149","637","584","164","33","2","33","85","100","45","148","1","0",".280",".335",".513",".848",".357","32.0","17484"
"Paul Goldschmidt","STL","151","659","560","150","27","2","26","89","83","87","145","5","2",".268",".369",".460",".829",".357","92.0","9218"
"Josh Donaldson","MIN","136","582","487","120","25","2","26","82","73","85","136","4","1",".246",".364",".461",".824",".357","192.2","5038"
"Rhys Hoskins","PHI","141","623","519","124","26","2","30","85","88","89","145","3","1",".239",".358",".472",".830",".357","163.2","16472"
"Max Muncy","LAD","131","587","491","118","22","2","29","84","83","85","147","3","1",".241",".359",".469",".828",".356","95.0","13301"
"Manny Machado","SDP","156","687","610","165","30","2","36","91","107","67","115","9","3",".271",".344",".502",".845",".355","20.9","11493"
"Kris Bryant","CHC","146","642","548","141","29","3","25","84","85","73","151","3","1",".258",".359",".461",".820",".354","126.3","15429"
"Gleyber Torres","NYY","147","642","568","155","29","2","29","88","87","62","133","6","2",".273",".348",".486",".834",".354","69.1","16997"
"Michael Conforto","NYM","151","660","566","146","30","2","29","89","88","78","154","6","2",".258",".357",".468",".825",".354","73.0","16376"
"C.J. Cron","COL","125","545","490","132","26","2","28","72","83","39","122","2","0",".270",".336",".500",".836",".354","275.1","12546"
"Pete Alonso","NYM","146","639","555","137","26","1","37","86","100","64","164","2","1",".248",".339",".499",".839",".353","57.3","19251"
"Kyle Schwarber","WSN","121","535","461","112","21","2","31","73","84","65","143","3","1",".242",".340",".494",".834",".352","196.4","16478"
"Nicholas Castellanos","CIN","146","642","581","158","38","4","29","87","91","49","154","3","1",".272",".333",".498",".831",".351","83.0","11737"
"Rafael Devers","BOS","152","654","595","163","39","2","29","89","89","50","137","6","3",".275",".334",".496",".830",".350","42.0","17350"
"Nolan Arenado","STL","152","666","590","158","30","2","33","84","98","65","93","2","1",".269",".341",".495",".836",".350","39.0","9777"
"Randy Arozarena","TBR","144","617","546","146","29","3","26","86","81","51","146","19","6",".267",".345",".476",".820",".350","59.1","19290"
"Nelson Cruz","MIN","133","568","509","132","25","1","32","76","88","46","144","1","0",".259",".330",".503",".833",".350","91.2","2434"
"Shohei Ohtani","LAA","115","496","438","116","24","3","21","73","63","51","133","14","4",".264",".343",".475",".819",".349","210.7","19755"
"DJ LeMahieu","NYY","151","657","593","176","27","3","19","88","76","54","93","5","2",".297",".357",".450",".807",".349","27.5","9874"
"Trea Turner","WSN","152","671","607","174","32","6","21","99","79","54","123","35","8",".286",".347",".466",".814",".349","7.1","16252"
"Jose Abreu","CHW","154","658","598","165","31","2","31","85","96","43","137","2","1",".276",".335",".488",".823",".348","39.5","15676"
"Josh Bell","WSN","136","599","523","137","26","3","27","78","85","67","126","2","1",".262",".348",".473",".821",".348","150.7","13145"
"Jose Altuve","HOU","154","668","598","170","32","3","22","92","83","56","108","14","5",".285",".351",".456",".806",".347","97.3","5417"
"Ketel Marte","ARI","151","651","589","169","34","6","19","86","81","51","86","8","3",".287",".347",".462",".809",".347","84.3","13613"
"Jorge Soler","KCR","143","606","526","129","25","1","31","78","90","67","172","2","1",".245",".337",".472",".810",".346","142.9","14221"
"Bo Bichette","TOR","149","647","592","169","40","3","21","93","79","46","136","20","6",".286",".340",".472",".812",".346","24.7","19612"
"Brandon Nimmo","NYM","110","483","404","101","20","3","14","65","51","66","113","5","2",".249",".366",".419",".785",".345","267.5","12927"
"Joey Gallo","TEX","149","624","525","113","24","2","37","85","93","88","219","6","2",".215",".333",".481",".814",".345","165.8","14128"
"Mike Moustakas","CIN","146","642","574","145","28","1","36","84","97","56","118","2","1",".253",".324",".494",".818",".345","119.1","4892"
"Joey Votto","CIN","154","677","572","147","30","2","20","86","77","94","129","3","1",".257",".366",".422",".788",".344","363.1","4314"
"Tommy Pham","SDP","128","566","489","129","23","3","18","77","65","67","122","17","4",".264",".358",".433",".791",".344","132.8","2967"
"Andrew McCutchen","PHI","136","602","519","132","25","2","23","79","75","72","126","8","3",".254",".350",".442",".792",".343","203.1","9847"
"J.T. Realmuto","PHI","138","564","507","136","25","3","24","76","77","43","123","8","2",".269",".333",".473",".806",".343","39.5","11739"
"Max Kepler","MIN","146","624","544","135","31","3","26","84","78","68","107","5","2",".248",".337",".463",".800",".343","189.4","12144"
"Brandon Lowe","TBR","131","561","493","123","27","3","25","74","77","57","155","6","2",".248",".333",".469",".801",".342","72.0","18882"
"Ozzie Albies","ATL","151","660","602","168","36","5","23","91","86","47","118","16","4",".279",".335",".471",".806",".342","33.8","16556"
"Daniel Vogelbach","MIL","36","157","132","31","6","0","7","19","21","23","36","0","0",".237",".351",".439",".790",".342","597.8","14130"
"Yasmani Grandal","CHW","138","548","459","106","19","1","25","72","72","80","138","2","1",".231",".348",".441",".789",".342","128.7","11368"
"Wander Franco","TBR","94","402","363","105","22","3","10","50","49","33","32","7","3",".289",".350",".449",".799",".342","999.0","sa3007033"
"Matt Olson","OAK","146","621","536","126","26","1","33","79","89","73","167","2","1",".234",".332",".473",".805",".342","90.5","14344"
"Eddie Rosario","CLE","128","540","500","138","26","3","26","67","81","33","82","5","2",".277",".320",".491",".811",".341","106.1","12155"
"Aaron Hicks","NYY","134","586","496","120","23","2","23","80","68","81","121","6","2",".242",".350",".435",".785",".340","277.5","5297"
"Brandon Belt","SFG","126","548","466","114","26","3","19","70","67","73","121","3","1",".245",".350",".438",".787",".340","436.9","10264"
"Marcus Semien","TOR","149","647","572","150","30","3","25","88","80","65","120","10","4",".262",".338",".453",".791",".340","129.3","12533"
"Greg Bird","COL","28","120","104","25","6","0","5","15","17","14","30","0","0",".242",".336",".458",".794",".340","598.3","14131"
"Matt Chapman","OAK","151","642","564","134","31","3","32","83","88","65","165","1","0",".238",".323",".478",".801",".340","116.6","16505"
"A.J. Pollock","LAD","130","579","524","136","28","2","28","82","84","42","127","11","3",".260",".321",".481",".802",".339","188.7","9256"
"Jeff McNeil","NYM","152","667","598","168","35","3","17","83","78","49","90","7","3",".281",".348",".437",".785",".339","90.5","15362"
"Trey Mancini","BAL","128","538","484","128","22","2","22","67","66","45","123","1","0",".265",".333",".456",".789",".338","167.5","15149"
"Will Smith","LAD","99","404","351","85","18","1","19","54","58","41","97","2","1",".241",".331",".463",".793",".338","95.9","19197"
"Austin Meadows","TBR","117","499","443","112","25","3","21","65","66","47","118","11","3",".254",".329",".464",".793",".338","94.9","15672"
"Franmil Reyes","CLE","152","643","571","144","28","1","31","80","94","63","174","0","0",".252",".327",".467",".794",".337","151.7","14566"
