"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","ADP","playerid"
"Mike Trout","LAA","157","676","541","155","30","3","41","113","110","117","145","11","4",".287",".422",".584","1.006",".418","6.0","10155"
"Juan Soto","WSN","154","678","558","165","34","3","36","107","107","112","121","11","4",".296",".414",".559",".973",".408","3.6","20123"
"Mookie Betts","LAD","157","704","609","182","39","4","36","115","107","83","100","19","6",".299",".385",".551",".936",".393","3.8","13611"
"Bryce Harper","PHI","154","681","559","151","30","3","37","106","105","111","155","14","4",".271",".394",".535",".929",".390","18.7","11579"
"Freddie Freeman","ATL","157","689","586","174","37","3","31","103","102","89","122","7","3",".297",".394",".529",".923",".389","12.9","5361"
"Christian Yelich","MIL","156","685","583","166","31","3","35","105","101","92","157","18","5",".284",".386",".528",".914",".387","10.9","11477"
"Ronald Acuna Jr.","ATL","156","682","586","165","32","3","36","112","99","83","177","29","8",".282",".377",".531",".908",".383","1.7","18401"
"George Springer","TOR","146","633","547","153","25","2","35","98","93","73","126","6","2",".280",".372",".525",".897",".381","49.4","12856"
"Cody Bellinger","LAD","151","675","582","161","35","4","34","104","102","84","127","15","4",".276",".369",".527",".897",".376","16.3","15998"
"Anthony Rendon","LAA","154","662","564","159","34","3","28","92","91","83","93","2","1",".282",".379",".501",".880",".374","40.8","12861"
"Fernando Tatis Jr.","SDP","154","680","601","167","34","5","36","106","104","66","183","25","7",".278",".356",".531",".887",".374","2.3","19709"
"Yordan Alvarez","HOU","131","569","490","135","28","2","31","81","92","70","142","3","1",".275",".367",".527",".894",".373","77.3","19556"
"Vladimir Guerrero Jr.","TOR","144","626","555","163","32","1","30","90","93","60","94","3","1",".294",".366",".518",".885",".373","54.7","19611"
"Aaron Judge","NYY","134","586","493","126","22","1","33","89","84","82","177","4","2",".256",".368",".510",".878",".373","54.2","15640"
"Justin Turner","LAD","126","566","493","142","30","1","24","80","82","53","91","2","1",".288",".369",".498",".867",".370","204.2","5235"
"Alex Bregman","HOU","154","667","563","152","35","3","26","93","89","90","88","4","2",".270",".376",".482",".858",".368","42.9","17678"
"Eloy Jimenez","CHW","149","638","584","165","33","2","35","87","101","45","148","1","0",".283",".338",".524",".862",".362","32.0","17484"
"Jose Ramirez","CLE","154","649","567","152","35","4","30","95","89","71","90","23","7",".269",".353",".504",".856",".362","10.9","13510"
"Marcell Ozuna","ATL","149","653","577","161","28","2","32","91","96","68","136","4","2",".278",".356",".497",".853",".361","45.4","10324"
"Corey Seager","LAD","149","667","598","167","37","2","31","94","101","60","122","2","1",".280",".349",".503",".852",".361","38.4","13624"
"C.J. Cron","COL","125","545","489","133","27","1","30","72","87","40","124","1","1",".272",".339",".516",".855",".360","275.1","12546"
"Rhys Hoskins","PHI","141","624","521","124","26","1","33","86","92","88","146","3","1",".239",".357",".484",".841",".360","163.2","16472"
"Giancarlo Stanton","NYY","136","593","514","129","22","1","36","86","89","68","170","3","1",".251",".344",".509",".853",".360","119.7","4949"
"Nicholas Castellanos","CIN","146","641","580","162","39","3","30","89","95","50","154","3","1",".279",".340",".513",".852",".360","83.0","11737"
"Jose Abreu","CHW","154","659","597","169","32","2","33","88","100","44","135","2","1",".283",".343",".508",".851",".359","39.5","15676"
"Trevor Story","COL","152","665","597","164","38","6","29","98","89","58","168","25","7",".275",".343",".505",".849",".359","12.6","12564"
"Xander Bogaerts","BOS","151","646","574","163","32","3","26","89","83","61","116","7","2",".284",".355",".485",".840",".358","33.6","12161"
"Eugenio Suarez","CIN","156","684","593","149","27","1","39","95","105","76","181","3","1",".252",".344",".500",".844",".357","72.6","12552"
"Jesse Winker","CIN","117","513","442","119","23","1","21","69","67","60","99","2","1",".269",".363",".468",".831",".357","215.0","13590"
"Luke Voit","NYY","141","614","537","139","24","1","33","85","87","64","151","0","0",".259",".347",".489",".836",".356","60.3","14811"
"Ketel Marte","ARI","151","651","589","171","34","6","23","90","88","52","85","8","2",".291",".352",".486",".837",".356","84.3","13613"
"J.D. Martinez","BOS","149","639","563","155","32","2","28","85","87","66","149","2","1",".276",".354",".487",".841",".356","93.5","6184"
"Max Muncy","LAD","131","588","492","120","24","2","27","84","82","85","147","3","1",".244",".362",".464",".825",".355","95.0","13301"
"Trea Turner","WSN","152","671","608","177","34","6","23","101","81","53","122","36","8",".292",".351",".479",".831",".355","7.1","16252"
"Josh Bell","WSN","136","599","523","139","26","2","29","79","89","67","126","2","1",".266",".352",".489",".841",".355","150.7","13145"
"Josh Donaldson","MIN","136","582","487","119","25","1","25","80","72","85","136","3","2",".244",".361",".454",".815",".353","192.2","5038"
"Anthony Rizzo","CHC","157","692","586","154","31","2","24","88","89","79","102","7","3",".264",".369",".447",".817",".353","107.1","3473"
"Pete Alonso","NYM","146","638","554","137","26","1","37","85","101","64","164","2","1",".248",".340",".498",".838",".353","57.3","19251"
"Andrew McCutchen","PHI","136","602","519","136","26","3","24","82","77","72","125","8","3",".262",".356",".458",".814",".351","203.1","9847"
"Joey Votto","CIN","154","677","572","149","30","1","23","88","82","94","131","3","1",".260",".367",".438",".805",".350","363.1","4314"
"Jorge Soler","KCR","143","607","526","130","26","1","31","79","90","68","171","2","1",".247",".341",".478",".819",".349","142.9","14221"
"Nelson Cruz","MIN","133","568","508","132","26","1","32","75","87","47","143","1","0",".259",".330",".502",".832",".349","91.2","2434"
"Kyle Schwarber","WSN","121","535","460","112","21","2","28","72","80","66","143","4","1",".244",".343",".481",".824",".349","196.4","16478"
"Kris Bryant","CHC","146","642","548","139","28","3","25","82","84","73","150","3","1",".253",".355",".452",".808",".349","126.3","15429"
"Shohei Ohtani","LAA","115","495","436","115","23","3","21","72","63","52","133","14","4",".264",".344",".475",".818",".349","210.7","19755"
"Rafael Devers","BOS","152","653","593","162","38","2","29","89","89","52","138","7","3",".272",".333",".492",".825",".349","42.0","17350"
"Austin Meadows","TBR","117","499","441","113","25","2","25","68","72","49","118","10","3",".256",".335",".490",".824",".348","94.9","15672"
"Paul Goldschmidt","STL","151","658","560","147","26","2","23","85","79","86","143","5","2",".262",".364",".440",".804",".348","92.0","9218"
"Bo Bichette","TOR","149","647","593","169","39","4","22","94","80","45","136","19","7",".285",".339",".477",".816",".348","24.7","19612"
"Manny Machado","SDP","156","687","611","162","29","2","34","89","104","66","115","9","4",".266",".338",".486",".825",".348","20.9","11493"
"Randy Arozarena","TBR","144","617","546","145","29","3","26","86","79","51","147","19","5",".266",".343",".470",".813",".347","59.1","19290"
"Brandon Lowe","TBR","131","561","494","123","27","3","27","75","80","57","156","6","2",".250",".333",".480",".813",".347","72.0","18882"
"Charlie Blackmon","COL","136","595","535","150","31","5","20","76","78","46","108","6","2",".281",".345",".468",".813",".347","87.2","7859"
"Michael Conforto","NYM","151","659","565","143","28","2","27","87","85","78","153","6","2",".253",".352",".453",".805",".347","73.0","16376"
"Brandon Belt","SFG","126","549","467","115","27","2","22","71","71","73","122","3","1",".246",".351",".455",".806",".346","436.9","10264"
"Gleyber Torres","NYY","147","642","569","151","29","1","29","86","85","61","134","6","3",".266",".341",".472",".813",".346","69.1","16997"
"Tommy Pham","SDP","128","565","489","131","24","3","17","77","65","66","122","16","5",".268",".360",".434",".794",".345","132.8","2967"
"Joey Gallo","TEX","149","625","525","113","24","2","37","85","93","88","220","6","2",".214",".334",".479",".813",".344","165.8","14128"
"Jose Altuve","HOU","154","667","599","167","30","4","22","92","82","55","110","14","5",".280",".345",".454",".799",".344","97.3","5417"
"Trey Mancini","BAL","128","539","483","130","23","1","23","68","69","45","122","1","0",".269",".337",".467",".804",".343","167.5","15149"
"Matt Chapman","OAK","151","643","564","136","31","3","33","84","90","66","163","2","1",".241",".326",".484",".810",".343","116.6","16505"
"Marcus Semien","TOR","149","647","574","151","30","3","26","90","81","64","122","10","4",".263",".338",".460",".798",".343","129.3","12533"
"Will Smith","LAD","99","404","351","86","18","1","20","55","59","42","97","2","1",".245",".334",".471",".806",".343","95.9","19197"
"J.T. Realmuto","PHI","138","564","508","137","26","3","23","76","76","43","123","8","3",".270",".334",".470",".804",".343","39.5","11739"
"DJ LeMahieu","NYY","151","657","593","175","28","2","17","86","73","54","93","5","2",".295",".356",".434",".789",".342","27.5","9874"
"Mitch Haniger","SEA","136","570","497","124","25","1","25","73","72","59","139","5","2",".249",".338",".458",".796",".342","258.8","14274"
"Wander Franco","TBR","94","402","363","105","22","3","10","51","48","33","32","8","2",".289",".350",".448",".798",".342","999.0","sa3007033"
"Yasiel Puig","","79","343","306","79","14","1","16","48","45","30","73","9","3",".259",".332",".467",".800",".341","376.6","14225"
"Max Kepler","MIN","146","623","544","134","31","4","26","83","77","68","108","6","2",".247",".336",".458",".794",".340","189.4","12144"
"Aaron Hicks","NYY","134","586","496","120","23","2","23","80","67","81","121","6","2",".241",".350",".434",".783",".340","277.5","5297"
"Nolan Arenado","STL","152","665","591","155","29","2","31","81","94","63","92","2","1",".262",".333",".474",".807",".340","39.0","9777"
"Teoscar Hernandez","TOR","147","640","575","142","29","2","35","91","94","56","196","9","3",".247",".317",".486",".803",".339","81.7","13066"
"Alex Dickerson","SFG","109","471","419","109","26","3","17","59","61","41","91","2","1",".261",".335",".460",".795",".338","353.9","12649"
"Franmil Reyes","CLE","152","642","571","144","28","1","31","79","95","63","174","0","0",".253",".328",".469",".797",".338","151.7","14566"
"Brandon Nimmo","NYM","110","482","404","98","20","3","13","63","48","66","113","6","2",".244",".362",".402",".764",".338","267.5","12927"
"J.D. Davis","NYM","100","440","390","103","20","1","16","55","56","41","103","1","1",".264",".340",".443",".783",".337","242.0","16219"
"Willson Contreras","CHC","113","459","400","102","20","2","17","57","59","43","112","3","1",".254",".339",".442",".781",".337","124.3","11609"
