,Name,playerid,Team,R,HR,RBI,H,AB,SB,PA
0,Mike Trout,10155,LAA,0.1686805160316302,0.06310443983060239,0.16742063785172862,0.13571346818222668,0.7956888325593774,0.01690889887165356,679.0
1,Juan Soto,20123,WSN,0.1725184456052975,0.055978756091717305,0.1773814568380164,0.14026226705057798,0.8190138894552967,0.018970389326155815,665.0
2,Freddie Freeman,5361,ATL,0.1550804449725729,0.04578096369799044,0.15693995676557382,0.13733001801190822,0.849179066820428,0.009745686861733148,679.0
3,Christian Yelich,11477,MIL,0.14986021071155406,0.051533509979861086,0.14470665789771048,0.13385785477265558,0.8465310448788891,0.02712708113804784,672.0
4,Bryce Harper,11579,PHI,0.15717950244381962,0.054264073310458384,0.15941646791607922,0.12520379130899992,0.8144959798237851,0.020378242974770575,665.0
5,Mookie Betts,13611,LAD,0.15579304464721003,0.04916068556547565,0.14421379983651605,0.1378195799266604,0.8620318616420476,0.03033311662393546,679.0
6,Cody Bellinger,15998,LAD,0.16253126434762782,0.056924365896906276,0.16970184024535923,0.13738240218714864,0.8601120142092229,0.022369381165093287,651.0
7,Alex Bregman,17678,HOU,0.14583274373511418,0.044260380443364764,0.14413426509898128,0.12730454712630174,0.838490588120774,0.008346111352395179,658.0
8,Ronald Acuna Jr.,18401,ATL,0.16319448411156454,0.05739730633057334,0.15123453991831465,0.13846260329878912,0.8536055265343451,0.0441532536000579,672.0
9,Aaron Judge,15640,NYY,0.15530543747225387,0.06010237325974831,0.1532300786429725,0.12773708394858754,0.8369761278105836,0.00741181556152346,581.0
10,Anthony Rendon,12861,LAA,0.141784626183804,0.042275386165319784,0.14488713784578897,0.1296029948468402,0.8499816660125874,0.003905772342189733,665.0
11,Yordan Alvarez,19556,HOU,0.15903965744678059,0.059125728202321745,0.17082804543232313,0.13976523987488088,0.8645872703216243,0.006219758551279191,525.0
12,George Springer,12856,TOR,0.14916249591136174,0.05096400380180443,0.1423325564613256,0.13318989110013044,0.8653581083539182,0.009525474788224072,623.0
13,Fernando Tatis Jr.,19709,SDP,0.15908218029169338,0.05423113938709765,0.15640241556723947,0.13989057757726353,0.8808336812743296,0.03943391630446534,658.0
14,Jose Ramirez,13510,CLE,0.15027959302384683,0.049806616081711205,0.14917300707492953,0.13369569789545263,0.8685344972347445,0.03739687428557031,665.0
15,Trevor Story,12564,COL,0.14451491905439273,0.04900278405212616,0.13791386763426236,0.13711897475603615,0.8960306105700842,0.038096067438172704,658.0
16,Eugenio Suarez,12552,CIN,0.14817869970002223,0.05773762088944932,0.15974668629980715,0.1275249712596812,0.8629790660866006,0.004988185640580932,658.0
17,Marcell Ozuna,10324,ATL,0.15342960596367963,0.052474166681420166,0.1674885020464085,0.1398478364132892,0.8867561083237631,0.007121592076646383,644.0
18,Vladimir Guerrero Jr.,19611,TOR,0.14343352142677587,0.04328548800373461,0.1490083573576797,0.13872319377979633,0.8909094857800686,0.0044397445535671095,623.0
19,Xander Bogaerts,12161,BOS,0.13911738566211748,0.041073474721974,0.13756519591252198,0.13527404358833267,0.8868996396359746,0.01358150575893476,644.0
20,Giancarlo Stanton,4949,NYY,0.15942863209840444,0.0655548594792556,0.17107561662626727,0.13263715644891622,0.862587429362349,0.0056708739247567485,560.0
21,J.D. Martinez,6184,BOS,0.14130186606621792,0.04742882472035097,0.14677084236664906,0.13335535901168372,0.8808767030748177,0.004013796700932292,644.0
22,Anthony Rizzo,3473,CHC,0.13383533543024365,0.039872207821034754,0.13559916917087098,0.12129650673088278,0.8418298338977954,0.010276327988203202,679.0
23,Luke Voit,14811,NYY,0.1483331858334102,0.054700523387998835,0.15385519534530825,0.13168176400496742,0.8735958722705816,0.000813670188819152,609.0
24,Justin Turner,5235,LAD,0.13702463727450187,0.03720384701625389,0.1362423540905678,0.12932323179678334,0.8699645036874257,0.003773828696271116,546.0
25,Jesse Winker,13590,CIN,0.1304743085452516,0.04070170410879405,0.1278046581080557,0.12522684580662058,0.8553935194163251,0.004682465549364281,504.0
26,Charlie Blackmon,7859,COL,0.13487137864238163,0.0370308459633639,0.13074605721513172,0.13510627369073475,0.8992608194418614,0.009578039484793747,588.0
