"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Mike Trout","LAA","150","671","528","147","26","3","41","116","105","122","147","12","10","3","",".279",".422",".571",".993",".408","","158","1.2","-4.1","","51.3","-1.8","7.1","","6.0","10155"
"Mookie Betts","LAD","150","685","581","161","32","3","34","116","89","87","108","7","20","5","",".277",".375",".515",".891",".372","","134","3.7","11.9","","34.3","4.4","5.9","","3.8","13611"
"Fernando Tatis Jr.","SDP","150","677","592","168","28","5","39","112","97","65","162","9","26","10","",".284",".362",".545",".906",".375","","135","1.2","-1.4","","32.1","6.1","5.8","","2.3","19709"
"Alex Bregman","HOU","150","660","546","150","35","2","31","101","100","98","87","9","5","2","",".275",".391",".518",".909",".382","","144","-0.6","-2.8","","36.6","-0.2","5.8","","42.9","17678"
"Juan Soto","WSN","150","651","526","158","32","2","39","107","113","114","113","5","12","5","",".301",".427",".593","1.020",".416","","157","-0.7","-2.5","","48.1","-10.0","5.8","","3.6","20123"
"Cody Bellinger","LAD","150","642","546","153","29","2","40","101","115","87","114","4","13","5","",".281",".380",".564",".944",".386","","143","0.0","0.3","","36.5","0.3","5.6","","16.3","15998"
"Anthony Rendon","LAA","150","656","556","155","35","2","27","92","96","84","98","10","3","1","",".279",".381",".494",".875",".368","","131","0.6","3.5","","26.7","6.0","5.4","","40.8","12861"
"Ronald Acuna Jr.","ATL","150","683","578","162","28","2","41","118","98","86","171","10","28","10","",".281",".380",".550",".930",".385","","137","2.5","3.3","","35.9","-3.7","5.3","","1.7","18401"
"Corey Seager","LAD","149","641","568","167","36","2","31","96","98","60","108","6","3","1","",".295",".365",".529",".893",".372","","134","0.7","-3.1","","29.2","4.4","5.3","","38.4","13624"
"Jose Ramirez","CLE","150","653","561","152","37","3","33","98","97","78","97","7","23","8","",".271",".363",".519",".883",".367","","127","2.4","1.4","","25.3","3.9","5.1","","10.9","13510"
"Francisco Lindor","NYM","150","682","603","161","33","1","33","102","89","62","107","7","19","6","",".267",".340",".492",".832",".345","","117","0.4","6.2","","15.8","13.7","5.0","","18.0","12916"
"Matt Chapman","OAK","150","663","578","142","33","3","35","92","96","68","166","9","2","1","",".246",".333",".494",".827",".345","","120","0.8","5.8","","17.5","8.1","4.8","","116.6","16505"
"Manny Machado","SDP","150","661","582","160","29","2","36","97","104","68","116","5","9","4","",".274",".352",".516",".868",".358","","124","-0.2","3.3","","20.4","5.8","4.6","","20.9","11493"
"Freddie Freeman","ATL","150","662","558","164","37","2","32","104","102","90","122","7","6","2","",".294",".396",".541",".937",".387","","138","-0.4","3.9","","32.7","-8.6","4.4","","12.9","5361"
"Yasmani Grandal","CHW","130","566","472","110","21","1","25","76","73","82","143","5","3","1","",".233",".350",".443",".793",".338","","112","-3.0","0.4","","5.8","6.1","4.3","","128.7","11368"
"Christian Yelich","MIL","150","670","560","155","29","3","35","106","94","93","160","8","18","6","",".276",".384",".525",".910",".378","","133","2.2","-1.5","","31.2","-9.0","4.3","","10.9","11477"
"Aaron Judge","NYY","134","601","495","123","20","1","35","96","87","92","183","6","6","2","",".249",".371",".505",".876",".367","","130","0.2","5.5","","23.6","-1.9","4.2","","54.2","15640"
"Xander Bogaerts","BOS","150","649","569","159","37","1","26","89","93","69","117","5","8","3","",".279",".359",".486",".845",".355","","118","1.0","-3.9","","15.6","3.6","4.1","","33.6","12161"
"Rafael Devers","BOS","150","658","595","167","39","2","35","98","102","50","132","5","7","3","",".281",".341",".531",".871",".359","","121","1.0","-2.1","","18.4","0.0","4.0","","42.0","17350"
