"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Jacob deGrom","NYM","16","7","2.78","32","32","0","201.0","148","62","21","277","51","1.00","12.44","2.31","2.70","6.6","6.3","5.5","10954"
"Shane Bieber","CLE","14","9","3.26","31","31","0","195.0","163","70","25","247","47","1.08","11.41","2.19","3.16","5.3","5.6","9.8","19427"
"Gerrit Cole","NYY","15","9","3.54","32","32","0","201.0","162","79","30","264","58","1.09","11.82","2.58","3.50","5.2","5.1","7.0","13125"
"Max Scherzer","WSN","13","8","3.54","29","29","0","179.0","148","70","25","234","49","1.10","11.74","2.47","3.40","4.8","4.5","28.0","3137"
"Yu Darvish","SDP","14","8","3.34","31","31","0","189.0","153","70","22","238","56","1.11","11.33","2.69","3.26","4.8","4.6","17.8","13074"
"Luis Castillo","CIN","13","9","3.53","31","31","0","187.0","161","73","22","227","67","1.22","10.93","3.24","3.49","4.5","4.6","27.6","15689"
"Brandon Woodruff","MIL","12","9","3.56","31","31","0","185.0","159","73","23","216","59","1.18","10.54","2.86","3.58","4.4","4.2","32.2","16162"
"Trevor Bauer","LAD","14","8","3.69","31","31","0","195.0","167","80","27","233","65","1.19","10.74","3.01","3.75","4.2","3.8","14.5","12703"
"Aaron Nola","PHI","13","9","3.68","31","31","0","190.0","169","78","24","220","66","1.23","10.38","3.11","3.68","4.2","4.0","22.6","16149"
"Walker Buehler","LAD","13","7","3.53","29","29","0","172.0","148","68","22","204","50","1.15","10.64","2.59","3.53","4.0","3.7","19.5","19374"
"Carlos Carrasco","NYM","13","8","3.40","29","29","0","174.0","147","66","22","210","51","1.14","10.86","2.65","3.47","3.9","3.9","61.7","6632"
"Clayton Kershaw","LAD","13","7","3.47","29","29","0","175.0","160","68","23","189","43","1.16","9.70","2.24","3.58","3.7","3.8","32.5","2036"
"German Marquez","COL","11","11","4.54","31","31","0","192.0","203","97","28","198","57","1.35","9.30","2.65","4.07","3.7","3.6","175.4","15038"
"Tyler Glasnow","TBR","11","9","3.55","28","28","0","163.0","129","64","20","210","65","1.19","11.61","3.56","3.55","3.6","3.7","47.4","14374"
"Patrick Corbin","WSN","12","10","4.02","31","31","0","190.0","186","85","26","192","61","1.30","9.07","2.87","4.03","3.6","3.5","135.3","9323"
"Stephen Strasburg","WSN","11","9","4.04","28","28","0","163.0","156","73","22","171","48","1.26","9.43","2.67","3.94","3.6","3.0","70.6","10131"
"Blake Snell","SDP","12","7","3.26","28","28","0","151.0","122","55","17","187","56","1.18","11.15","3.35","3.39","3.5","3.8","42.5","13543"
"Charlie Morton","ATL","12","8","3.72","29","29","0","168.0","154","70","19","183","55","1.24","9.81","2.92","3.69","3.5","3.5","120.3","4676"
"Sonny Gray","CIN","11","9","3.96","29","29","0","168.0","154","74","21","190","68","1.32","10.16","3.65","3.92","3.4","3.3","69.4","12768"
"Kevin Gausman","SFG","11","9","3.73","29","29","0","170.0","155","70","21","185","51","1.22","9.83","2.72","3.63","3.4","3.3","138.0","14107"
"Jack Flaherty","STL","12","10","3.67","31","31","0","182.0","155","74","25","214","63","1.20","10.57","3.14","3.82","3.3","3.8","29.5","17479"
"Zack Wheeler","PHI","12","9","3.99","29","29","0","181.0","175","80","25","178","51","1.25","8.83","2.54","4.03","3.3","3.2","97.0","10310"
"Joe Musgrove","SDP","12","9","3.82","29","29","0","169.0","159","72","23","170","48","1.22","9.03","2.56","3.94","3.2","3.0","127.0","12970"
"Dinelson Lamet","SDP","10","6","3.40","24","24","0","137.0","108","52","17","182","49","1.14","11.95","3.23","3.39","3.2","3.3","91.3","17186"
"Hyun-Jin Ryu","TOR","12","9","3.96","29","29","0","179.0","179","79","24","160","46","1.26","8.03","2.31","4.07","3.2","3.4","70.3","14444"
