"Name","Team","W","L","ERA","GS","G","SV","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","RA9-WAR","ADP","playerid"
"Gerrit Cole","Yankees","6","3","3.28","12","12","0","75.0","57","27","10","104","21","1.05","12.44","2.53","3.20","2.2","2.2","4.8","13125"
"Jacob deGrom","Mets","5","4","3.30","12","12","0","76.0","64","28","9","91","19","1.09","10.82","2.22","3.24","2.0","1.9","9.3","10954"
"Max Scherzer","Nationals","5","3","3.40","11","11","0","72.0","58","27","10","91","18","1.06","11.42","2.26","3.37","1.9","2.0","14.4","3137"
"Justin Verlander","Astros","6","3","3.43","11","11","0","68.0","55","26","10","88","15","1.03","11.66","2.03","3.41","1.8","1.7","14.5","8700"
"Shane Bieber","Indians","6","3","3.69","12","12","0","75.0","70","31","11","80","15","1.14","9.62","1.81","3.61","1.7","1.8","23.8","19427"
"Stephen Strasburg","Nationals","5","4","3.71","12","12","0","74.0","67","31","9","80","21","1.19","9.75","2.60","3.69","1.6","1.7","27.6","10131"
"Lance Lynn","Rangers","5","4","3.87","12","12","0","71.0","64","31","10","78","24","1.24","9.86","3.01","3.91","1.6","1.8","107.9","2520"
"Patrick Corbin","Nationals","5","4","3.68","12","12","0","71.0","65","29","9","77","24","1.25","9.70","2.99","3.76","1.5","1.6","46.8","9323"
"Charlie Morton","Rays","5","3","3.53","11","11","0","69.0","59","27","8","78","23","1.19","10.29","3.00","3.62","1.5","1.6","47.7","4676"
"Clayton Kershaw","Dodgers","5","4","3.69","12","12","0","75.0","71","31","10","72","17","1.19","8.66","2.09","3.86","1.4","1.5","32.3","2036"
"Corey Kluber","Rangers","4","4","4.01","11","11","0","68.0","65","30","10","70","18","1.21","9.22","2.32","3.96","1.4","1.6","91.4","2429"
"Mike Clevinger","Indians","5","3","3.74","11","11","0","69.0","59","29","10","82","23","1.20","10.67","3.05","3.77","1.4","1.6","20.9","12808"
"James Paxton","Yankees","5","3","3.87","11","11","0","65.0","57","28","10","76","21","1.19","10.52","2.86","3.98","1.4","1.4","102.5","11828"
"Blake Snell","Rays","5","3","3.43","11","11","0","61.0","49","23","8","76","23","1.18","11.24","3.39","3.54","1.4","1.5","47.6","13543"
"Walker Buehler","Dodgers","5","3","3.57","11","11","0","69.0","61","27","9","77","19","1.15","10.00","2.44","3.60","1.4","1.4","16.9","19374"
"Jack Flaherty","Cardinals","4","4","3.79","12","12","0","71.0","62","30","10","81","24","1.20","10.29","3.01","3.89","1.3","1.4","22.4","17479"
"Trevor Bauer","Reds","4","4","4.18","12","12","0","74.0","67","34","11","83","28","1.29","10.05","3.39","4.18","1.3","1.3","78.4","12703"
"German Marquez","Rockies","4","4","4.26","11","11","0","69.0","69","33","10","69","19","1.27","8.94","2.45","4.09","1.3","1.5","197.0","15038"
"Aaron Nola","Phillies","4","4","3.95","12","12","0","73.0","68","32","10","77","26","1.27","9.48","3.13","4.03","1.3","1.3","62.5","16149"
"Yu Darvish","Cubs","4","4","4.08","11","11","0","69.0","61","31","10","78","23","1.23","10.22","3.07","3.98","1.2","1.3","52.4","13074"
"Luis Castillo","Reds","4","4","4.04","12","12","0","70.0","65","32","10","75","26","1.29","9.57","3.28","4.08","1.2","1.3","39.1","15689"
"Mike Minor","Rangers","4","4","4.44","12","12","0","74.0","73","37","13","70","22","1.28","8.48","2.72","4.55","1.2","1.4","168.6","10021"
"Jon Gray","Rockies","4","4","4.43","11","11","0","69.0","69","34","10","67","23","1.34","8.74","3.07","4.28","1.2","1.5","281.4","14916"
