Name,Pos,PA/IP,BA,R,HR,RBI,SB,ERA,WHIP,W,SO,SV,fWAR
Aramis Ramirez,3B 1B ,1,0.0,0,0,0,0,,,,,,-16.9
Christian Bethancourt,C ,128,0.25,11,3,12,2,,,,,,-10.55
Chris Owings,2B SS ,313,0.24914675767918087,28,5,30,8,,,,,,-8.41
Wil Myers,RF 1B CF LF ,625.0,0.25719769673704407,70.39249146757679,22.397610921501705,73.59215017064847,10.665529010238908,,,,,,5.6
Grant Green,2B 1B ,1,0.0,0,0,0,0,,,,,,-16.9
Max Stassi,C ,165,0.21052631578947367,16,4,17,1,,,,,,-10.2
Tomas Telis,C ,30,0.25,3,0,3,0,,,,,,-13.36
Jonathan Villar,SS 3B LF ,351.0,0.23828124999999997,34.605633802816904,7.415492957746479,33.36971830985915,22.246478873239436,,,,,,-4.04
Dustin Ackley,2B 1B CF LF ,353.0,0.2590909090909091,39.22222222222222,10.168724279835391,40.674897119341566,4.3580246913580245,,,,,,-5.31
Donald Lutz,,1,0.0,0,0,0,0,,,,,,-16.9
Mike Trout,CF ,678.0,0.3062730627306273,108.98299845440495,37.72488408037094,108.98299845440495,15.71870170015456,,,,,,21.41
Nick Franklin,2B SS 1B ,165,0.23648648648648649,17,4,17,3,,,,,,-12.17
Billy Hamilton,CF ,609.0,0.2490421455938698,67.19264448336253,7.465849387040281,45.86164623467601,62.926444833625226,,,,,,9.21
Tucker Barnhart,C ,164,0.23972602739726026,13,2,14,1,,,,,,-10.85
Jose Iglesias,SS ,528.0,0.2805429864253394,54.77178423236515,4.381742738589212,49.29460580912863,14.240663900414939,,,,,,-1.32
Randal Grichuk,RF CF LF ,575.0,0.24896265560165978,63.888888888888886,22.03065134099617,76.00574712643677,6.60919540229885,,,,,,3.87
Brandon Belt,1B LF ,572.0,0.265658747300216,64.52772466539197,18.592734225621417,72.18355640535373,7.6558317399617595,,,,,,3.77
Hector Sanchez,C ,1,0.0,0,0,0,0,,,,,,-13.95
Adrian Nieto,,1,0.0,0,0,0,0,,,,,,-16.9
Eury Perez,RF CF LF ,1,0.0,0,0,0,0,,,,,,-16.9
