,game_pk,batter,pitcher,at_bat_number,pitch_type_leading,pitch_type_in_one_one
0,747223,553869,656464,73,Slider,Slider
1,747223,666134,656464,70,Four-seam Fastball,Slider
2,747223,572233,641755,69,Slider,Slider
3,747223,606466,641755,67,Slider,Slider
4,747223,682998,641755,66,Four-seam Fastball,Slider
5,747223,453568,573009,63,Curveball,Curveball
6,747223,660707,573009,61,Sinker,Changeup
7,747223,677950,656234,59,Slider,Cutter
8,747223,672515,656234,57,Four-seam Fastball,Slider
9,747223,592626,656234,56,Cutter,Sinker
10,747223,553869,573009,55,Changeup,Changeup
11,747223,663898,518876,53,Changeup,Sinker
12,747223,666134,518876,52,Cutter,Cutter
13,747223,666971,656234,50,Slider,Sinker
14,747223,606466,656234,49,Cutter,Sinker
15,747223,553993,656234,45,Slider,Sinker
16,747223,592626,615698,43,Splitter,Splitter
17,747223,686668,518876,40,Slider,Cutter
18,747223,663898,518876,28,Changeup,Cutter
19,747223,672515,615698,26,Splitter,Sinker
20,747223,666971,615698,23,Splitter,Splitter
21,747223,677950,615698,16,Changeup,Changeup
22,747223,672515,615698,10,Cutter,Curveball
23,747223,592626,615698,9,Cutter,Splitter
24,747223,606466,615698,6,Sinker,Cutter
25,747223,592178,518876,2,Slider,Cutter
26,747223,453568,518876,1,Cutter,Changeup
27,746412,683011,656232,79,Sinker,Sinker
28,746412,657077,656232,78,Changeup,Changeup
29,746412,519317,656232,77,Four-seam Fastball,Curveball
30,746412,676801,657571,72,Four-seam Fastball,Four-seam Fastball
31,746412,683011,656786,66,Curveball,Four-seam Fastball
32,746412,657077,656786,65,Cutter,Sweeper
33,746412,519317,656786,64,Cutter,Four-seam Fastball
34,746412,519203,656786,63,Sweeper,Sweeper
35,746412,663656,624647,60,Slider,Sinker
36,746412,514888,596133,58,Changeup,Four-seam Fastball
37,746412,665828,605463,54,Sinker,Splitter
38,746412,669224,605463,53,Splitter,Splitter
39,746412,683011,605463,52,Four-seam Fastball,Slider
40,746412,657077,605463,51,Sinker,Splitter
41,746412,519203,664299,46,Changeup,Slider
42,746412,665742,664299,44,Four-seam Fastball,Changeup
43,746412,547989,595897,42,Slider,Slider
44,746412,650402,664299,39,Slider,Slider
45,746412,669224,664299,37,Changeup,Four-seam Fastball
46,746412,683011,664299,36,Slider,Four-seam Fastball
47,746412,670541,607074,35,Cutter,Four-seam Fastball
48,746412,514888,607074,34,Cutter,Four-seam Fastball
49,746412,547989,607074,26,Cutter,Cutter
50,746412,608324,607074,25,Four-seam Fastball,Slider
51,746412,650402,664299,20,Slider,Changeup
52,746412,514888,607074,17,Slider,Four-seam Fastball
53,746412,676694,607074,16,Four-seam Fastball,Slider
54,746412,657077,664299,11,Four-seam Fastball,Slider
55,746412,663656,607074,7,Four-seam Fastball,Four-seam Fastball
56,746412,670541,607074,6,Slider,Cutter
57,746412,514888,607074,5,Four-seam Fastball,Cutter
58,746412,519203,664299,4,Changeup,Slider
59,746412,592450,664299,3,Changeup,Four-seam Fastball
