All Pitchers 3 Year Averages MLB True Talent Categories
Avail,Player,INN,GS,BFP,PC,W,S,K,BB,H,HR,ER,ERA,WHIP,Kd9,BBd9,Rank,
Johnny and the Rockers,Justin Verlander SP | HOU ,214.3,34,843,3469,17,0,270,50,154,30,67,2.81,0.95,11.34,2.10,8
Screaming Prairie Camels,Max Scherzer SP | WAS ,198.0,30,780,3125,15,0,270,46,140,21,58,2.64,0.94,12.27,2.09,11
Walk-In Closets,Gerrit Cole SP | NYY ,205.3,33,822,3306,16,0,266,56,161,26,73,3.20,1.06,11.66,2.45,22
Union State Connectors,Jacob deGrom SP | NYM ,207.3,32,822,3226,12,0,254,50,162,19,58,2.52,1.02,11.03,2.17,24
SweepTheLegJohnny,Chris Sale SP | BOS ,173.3,28,693,2806,12,0,254,38,130,20,59,3.06,0.97,13.19,1.97,32
Droitwich Murdercocks,Zack Greinke SP | HOU ,206.3,33,817,3163,17,0,200,39,176,25,71,3.10,1.04,8.72,1.70,35
Droitwich Murdercocks,Clayton Kershaw SP | LAD ,171.7,27,678,2519,14,0,182,33,140,23,51,2.67,1.01,9.54,1.73,44
Springer International,Stephen Strasburg SP | WAS ,171.3,28,695,2762,14,0,204,47,137,18,60,3.15,1.07,10.72,2.47,52
SweepTheLegJohnny,Corey Kluber SP | TEX,151.3,23,596,2246,13,0,175,28,121,17,48,2.85,0.98,10.41,1.67,57
SweepTheLegJohnny,Aaron Nola SP | PHI ,194.3,31,792,3070,14,0,212,62,160,21,70,3.24,1.14,9.82,2.87,59
Cackleberry Czars,Charlie Morton SP | TB,169.3,29,701,2738,15,0,201,57,136,16,61,3.24,1.14,10.68,3.03,60
12oz Darlings,Patrick Corbin SP | WAS,197.3,33,820,3175,13,0,221,60,180,22,76,3.47,1.22,10.08,2.74,84
SweepTheLegJohnny,Mike Clevinger SP | CLE ,149.3,25,604,2486,13,0,171,55,117,15,49,2.95,1.15,10.31,3.31,88
Springer International,Kenley Jansen RP | LAD,67.7,0,270,1074,4,37,90,13,50,9,20,2.66,0.93,11.97,1.73,89
Bus 3,Trevor Bauer SP | CIN ,188.3,31,792,3229,13,0,223,66,166,23,77,3.68,1.23,10.66,3.15,93
Springer International,Carlos Carrasco SP | CLE ,157.3,25,641,2434,14,0,184,35,146,20,64,3.66,1.15,10.53,2.00,96
Walk-In Closets,Shohei Ohtani DH | LAA ,26.0,5,106,426,2,0,32,11,19,3,10,3.46,1.15,11.08,3.81,106
Screaming Prairie Camels,Shane Bieber SP | CLE,164.7,26,672,2568,13,0,188,32,158,22,68,3.72,1.15,10.28,1.75,108
Union State Connectors,James Paxton SP | NYY ,149.0,27,610,2512,13,0,183,45,128,18,59,3.56,1.16,11.05,2.72,109
W ,Felipe Vazquez RP | PIT ,68.3,0,277,1109,5,29,89,19,51,4,15,1.98,1.02,11.72,2.50,115
W ,Miles Mikolas SP | STL ,192.3,32,786,2936,14,0,145,30,190,22,74,3.46,1.14,6.79,1.40,116
The Midnight Sillies,Luis Severino SP | NYY ,132.3,22,537,2151,11,0,156,34,110,13,46,3.13,1.09,10.61,2.31,121
Cackleberry Czars,Chris Paddack SP | SD,140.7,26,568,2280,9,0,153,31,107,23,52,3.33,0.98,9.79,1.98,127
Springer International,Edwin Diaz RP | NYM,65.7,0,271,1125,2,39,104,24,48,10,25,3.43,1.10,14.25,3.29,129
Johnny and the Rockers,Jose Berrios SP | MIN ,179.3,30,752,2863,13,0,179,53,161,22,76,3.81,1.19,8.98,2.66,135
Walk-In Closets,Blake Snell SP | TB ,139.0,26,563,2362,11,0,162,54,107,15,49,3.17,1.16,10.49,3.50,138
You Drink Bitch's Wine,Brad Hand RP | CLE ,69.7,0,285,1119,4,29,98,22,53,8,21,2.71,1.08,12.66,2.84,143
Chicken Inn,Josh Hader RP | MIL,68.3,0,261,1092,4,16,116,24,34,9,18,2.37,0.85,15.28,3.16,149
W ,Robbie Ray SP | ARI ,153.3,28,646,2689,11,0,206,75,121,24,63,3.70,1.28,12.09,4.40,152
DJ Dootchy Dootch and 30-50 Feral Berm Angels,Kyle Hendricks SP | CHC ,172.0,29,704,2675,11,0,145,39,159,19,64,3.35,1.15,7.59,2.04,158
Johnny and the Rockers,Craig Kimbrel RP | CHC ,50.7,0,199,884,3,30,84,19,28,7,15,2.66,0.93,14.92,3.38,163
Union State Connectors,Roberto Osuna RP | HOU ,55.7,0,217,818,3,33,63,8,41,4,18,2.91,0.88,10.19,1.29,165
Union State Connectors,Raisel Iglesias RP | CIN ,71.7,0,292,1171,3,31,87,24,57,10,24,3.01,1.13,10.93,3.01,174
W ,Mike Minor SP | TEX ,147.7,20,603,2367,11,2,140,43,128,20,59,3.60,1.16,8.53,2.62,175
12oz Darlings,Aroldis Chapman RP | NYY,53.0,0,219,928,3,30,82,25,33,3,15,2.55,1.09,13.92,4.25,176
The Midnight Sillies,Hyun-Jin Ryu SP | TOR ,130.7,23,529,2024,9,0,123,28,119,16,39,2.69,1.12,8.47,1.93,177
W ,Ryan Yarbrough RP | TB ,144.7,10,596,2228,14,0,122,35,130,16,64,3.98,1.14,7.59,2.18,181
The Midnight Sillies,Eduardo Rodriguez SP | BOS ,156.7,27,665,2757,13,0,170,57,147,20,68,3.91,1.30,9.77,3.27,186
You Drink Bitch's Wine,Luis Castillo SP | CIN,150.0,26,616,2473,9,0,163,53,120,20,61,3.66,1.15,9.78,3.18,188
W ,J.A. Happ SP | NYY ,161.3,29,679,2745,13,0,158,49,152,26,72,4.02,1.25,8.81,2.73,191
Walk-In Closets,Lance Lynn SP | TEX,183.7,32,784,3215,12,0,187,71,170,21,80,3.92,1.31,9.16,3.48,193
The Midnight Sillies,Sonny Gray SP | CIN,156.0,27,656,2607,11,0,160,61,133,17,64,3.69,1.24,9.23,3.52,195
Omak Wrong Players,Walker Buehler SP | LAD ,109.7,18,441,1734,8,0,126,27,86,11,38,3.12,1.03,10.34,2.22,196
You Drink Bitch's Wine,German Marquez SP | COL,177.3,30,746,2799,12,0,184,47,176,26,84,4.26,1.26,9.34,2.39,197
W ,Kenta Maeda SP | MIN,137.7,24,571,2222,10,2,154,43,117,19,62,4.05,1.16,10.07,2.81,198
Cackleberry Czars,Alex Colome RP | CHW ,65.3,0,271,1019,4,30,62,22,53,6,22,3.03,1.15,8.54,3.03,201
The Midnight Sillies,Sean Doolittle RP | WAS,52.0,0,207,827,4,26,63,10,39,6,17,2.94,0.94,10.90,1.73,202
W ,Masahiro Tanaka SP | NYY ,172.0,29,715,2665,12,0,167,39,169,29,83,4.34,1.21,8.74,2.04,203
W ,Carlos Martinez RP | STL ,124.0,17,526,1962,8,10,129,50,106,11,47,3.41,1.26,9.36,3.63,204
W ,Blake Treinen RP | LAD ,71.7,0,302,1125,6,23,78,28,61,6,24,3.01,1.24,9.80,3.52,205
W ,Rich Hill SP | MIN ,109.0,21,447,1765,9,0,129,36,85,16,40,3.30,1.11,10.65,2.97,207
W ,Jon Lester SP | CHC,178.0,32,763,3098,15,0,165,59,186,25,80,4.04,1.38,8.34,2.98,208
Chicken Inn,Kirby Yates RP | SD,60.0,0,241,1011,3,18,93,16,42,7,16,2.40,0.97,13.95,2.40,209
Johnny and the Rockers,Jack Flaherty SP | STL ,123.0,22,494,2041,6,0,144,41,89,16,44,3.22,1.06,10.54,3.00,210
W ,Chase Anderson SP | TOR ,146.0,27,602,2416,10,0,128,49,123,22,59,3.64,1.18,7.89,3.02,226
W ,Jake Odorizzi SP | MIN ,155.7,30,658,2830,11,0,156,61,136,22,70,4.05,1.27,9.02,3.53,231
